GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Rob Blake,0.459,0.482,0.437,0.516,186,0,6,['Los Angeles Kings']
Neil Smith,0.459,0.506,0.413,0.529,396,1,11,['New York Rangers']
Jack Button,0.458,0.576,0.339,0.538,54,0,2,['Pittsburgh Penguins']
Jack Adams,0.458,0.568,0.348,0.547,913,7,35,['Detroit Red Wings']
Kevin Lowe,0.458,0.523,0.394,0.54,263,0,8,['Edmonton Oilers']
Ken Dryden,0.457,0.476,0.439,0.506,75,0,2,['Toronto Maple Leafs']
Tommy Gorman,0.456,0.57,0.38,0.524,430,7,24,"['New York Americans', 'Chicago Blackhawks', 'Ottawa Senators (1917)', 'Montreal Maroons', 'Montréal Canadiens']"
Fred Shero,0.456,0.494,0.418,0.522,82,0,3,['New York Rangers']
Bryan Murray,0.456,0.513,0.407,0.534,777,0,22,"['Ottawa Senators', 'Florida Panthers', 'Anaheim Ducks', 'Detroit Red Wings']"
Bobby Clarke,0.454,0.571,0.436,0.529,806,0,22,"['Philadelphia Flyers', 'Minnesota North Stars', 'Philadelphia Flyers', 'Florida Panthers']"
Craig Patrick,0.452,0.536,0.375,0.517,779,2,23,"['New York Rangers', 'Pittsburgh Penguins']"
Doug Risebrough,0.452,0.531,0.37,0.531,434,0,14,"['Calgary Flames', 'Minnesota Wild']"
Paul Fenton,0.451,0.39,0.512,0.506,37,0,1,['Minnesota Wild']
Gerry Meehan,0.449,0.548,0.349,0.516,243,0,7,['Buffalo Sabres']
Garth Snow,0.447,0.48,0.415,0.512,425,0,12,['New York Islanders']
Tommy Ivan,0.446,0.536,0.355,0.532,752,1,23,['Chicago Blackhawks']
Dale Tallon,0.444,0.492,0.401,0.511,455,0,14,"['Florida Panthers', 'Chicago Blackhawks']"
Punch Imlach,0.443,0.568,0.356,0.522,734,4,23,"['Toronto Maple Leafs', 'Buffalo Sabres', 'Toronto Maple Leafs']"
Darcy Regier,0.443,0.536,0.434,0.477,592,0,18,"['Buffalo Sabres', 'New York Islanders']"
Steve Yzerman,0.443,0.567,0.411,0.5,421,0,12,"['Detroit Red Wings', 'Tampa Bay Lightning']"
Dave Taylor,0.442,0.497,0.387,0.522,290,0,9,['Los Angeles Kings']
Ron Caron,0.441,0.537,0.365,0.524,423,0,12,"['St. Louis Blues', 'St. Louis Blues']"
Brian Burke,0.439,0.49,0.42,0.498,545,1,16,"['Vancouver Canucks', 'Calgary Flames', 'Toronto Maple Leafs', 'Hartford Whalers', 'Anaheim Ducks']"
Emile Francis,0.434,0.533,0.351,0.5,839,0,25,"['St. Louis Blues', 'Hartford Whalers', 'New York Rangers']"
Don Maloney,0.432,0.501,0.394,0.492,422,0,13,"['Arizona Coyotes', 'New York Islanders']"
Jim Benning,0.432,0.47,0.395,0.487,242,0,8,['Vancouver Canucks']
Dean Lombardi,0.43,0.481,0.38,0.495,745,2,22,"['Los Angeles Kings', 'San Jose Sharks']"
Bob Murray,0.428,0.543,0.432,0.5,575,0,17,"['Chicago Blackhawks', 'Anaheim Ducks']"
Tom Rowe,0.427,0.463,0.39,0.494,35,0,1,['Florida Panthers']
Jim Gregory,0.424,0.52,0.327,0.506,334,0,10,['Toronto Maple Leafs']
Rogie Vachon,0.424,0.496,0.351,0.483,283,0,9,['Los Angeles Kings']
Rejean Houle,0.423,0.46,0.387,0.499,180,0,6,['Montréal Canadiens']
Cliff Fletcher,0.421,0.555,0.372,0.507,953,1,28,"['Toronto Maple Leafs', 'Toronto Maple Leafs', 'Phoenix Coyotes', 'Calgary Flames']"
Lester Patrick,0.421,0.467,0.375,0.505,395,3,20,['New York Rangers']
Russ Farwell,0.415,0.5,0.329,0.479,136,0,4,['Philadelphia Flyers']
John Chayka,0.415,0.455,0.375,0.475,131,0,4,['Arizona Coyotes']
Scott Howson,0.411,0.477,0.344,0.481,174,0,6,['Columbus Blue Jackets']
Paul Holmgren,0.411,0.501,0.455,0.467,334,0,9,"['Hartford Whalers', 'Philadelphia Flyers']"
Chuck Fletcher,0.409,0.531,0.42,0.482,502,0,15,"['Philadelphia Flyers', 'Florida Panthers', 'Minnesota Wild']"
Tom Fitzgerald,0.409,0.408,0.411,0.469,79,0,4,['New Jersey Devils']
Bob Pulford,0.408,0.516,0.345,0.487,662,0,20,"['Chicago Blackhawks', 'Chicago Blackhawks', 'Chicago Blackhawks', 'Chicago Blackhawks']"
Lou Nanne,0.403,0.484,0.322,0.487,334,0,11,['Minnesota North Stars']
Pierre Dorion,0.403,0.453,0.351,0.458,195,0,7,['Ottawa Senators']
