GM,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Team
George McPhee,0.458,0.451,0.467,0.458,44,16,0,Washington Capitals
Punch Imlach,0.457,0.708,0.182,0.457,21,6,0,Buffalo Sabres
Maurice Filion,0.456,0.531,0.389,0.456,31,7,0,Quebec Nordiques
Emile Francis,0.453,0.528,0.385,0.453,34,9,0,New York Rangers
Bob Pulford,0.452,0.571,0.333,0.452,19,5,0,Chicago Blackhawks
David Poile,0.448,0.492,0.404,0.448,52,14,0,Washington Capitals
Pierre Gauthier,0.444,0.625,0.3,0.444,8,2,0,Ottawa Senators
Don Maloney,0.444,0.333,0.583,0.444,12,3,0,Arizona Coyotes
Wren Blair,0.444,0.667,0.25,0.444,20,6,0,Minnesota North Stars
Charles Querrie,0.444,0.571,0.0,0.472,8,8,2,Toronto St. Patricks
Lynn Patrick,0.441,0.588,0.294,0.441,15,5,0,Boston Bruins
Chuck Grillo,0.44,0.455,0.429,0.44,11,2,0,San Jose Sharks
Sid Abel,0.438,0.522,0.36,0.438,21,8,0,Detroit Red Wings
Dean Lombardi,0.433,0.452,0.417,0.433,29,9,0,San Jose Sharks
David Poile,0.432,0.54,0.323,0.432,54,19,0,Nashville Predators
Bob Pulford,0.43,0.517,0.339,0.43,49,13,0,Chicago Blackhawks
Bill Tobin,0.425,0.556,0.318,0.425,17,16,1,Chicago Blackhawks
Jake Milford,0.423,0.615,0.231,0.423,11,4,0,Los Angeles Kings
Kyle Dubas,0.423,0.357,0.5,0.423,11,4,0,Toronto Maple Leafs
Bryan Murray,0.419,0.5,0.333,0.419,13,5,0,Florida Panthers
Art Ross,0.418,0.479,0.356,0.438,61,28,3,Boston Bruins
Kevin Cheveldayoff,0.41,0.35,0.474,0.41,16,7,0,Winnipeg Jets
Don Maloney,0.409,0.6,0.25,0.409,9,2,0,New York Islanders
Marshall Johnston,0.409,0.5,0.333,0.409,9,3,0,Ottawa Senators
Bryan Murray,0.406,0.471,0.333,0.406,13,4,0,Detroit Red Wings
Jarmo Kekalainen,0.405,0.353,0.45,0.405,15,7,0,Columbus Blue Jackets
Frederic McLaughlin,0.4,0.571,0.25,0.5,6,6,0,Chicago Blackhawks
Mike Smith,0.4,0.556,0.273,0.4,8,4,0,Winnipeg Jets (1979)
Doug Risebrough,0.4,0.273,0.556,0.4,8,3,0,Calgary Flames
Eddie Johnston,0.4,0.667,0.182,0.4,8,3,0,Hartford Whalers
Larry Regan,0.389,0.556,0.222,0.389,7,2,0,Los Angeles Kings
Brian Burke,0.387,0.294,0.5,0.387,12,4,0,Vancouver Canucks
Lou Lamoriello,0.385,0.5,0.286,0.385,5,2,0,Toronto Maple Leafs
Emile Francis,0.385,0.5,0.286,0.385,10,4,0,Hartford Whalers
Greg Sherman,0.385,0.571,0.167,0.385,5,5,0,Colorado Avalanche
Ron Hextall,0.385,0.5,0.286,0.385,5,2,0,Pittsburgh Penguins
Brad Treliving,0.381,0.5,0.25,0.381,16,8,0,Calgary Flames
Garth Snow,0.379,0.385,0.375,0.379,11,10,0,New York Islanders
Doug Risebrough,0.379,0.308,0.438,0.379,11,6,0,Minnesota Wild
Doug Armstrong,0.379,0.357,0.4,0.379,11,5,0,Dallas Stars
Ken Holland,0.375,0.417,0.333,0.375,9,3,0,Edmonton Oilers
John Muckler,0.375,0.417,0.333,0.375,9,4,0,Buffalo Sabres
Cecil Hart,0.375,0.6,0.0,0.375,3,2,0,Montréal Canadiens
Red Dutton,0.375,0.571,0.222,0.375,6,5,0,Brooklyn Americans
Bill Zito,0.375,0.375,0.375,0.375,6,2,0,Florida Panthers
Gerry Meehan,0.368,0.444,0.3,0.368,14,6,0,Buffalo Sabres
Bryan Murray,0.364,0.333,0.389,0.364,12,8,0,Ottawa Senators
Jim Gregory,0.361,0.414,0.312,0.361,22,11,0,Toronto Maple Leafs
Bobby Smith,0.36,0.417,0.308,0.36,9,4,0,Phoenix Coyotes
Baz Bastien,0.36,0.364,0.357,0.36,9,6,0,Pittsburgh Penguins
Dave Taylor,0.357,0.462,0.267,0.357,10,5,0,Los Angeles Kings
Dale Tallon,0.353,0.444,0.25,0.353,6,9,0,Florida Panthers
Bill Guerin,0.353,0.25,0.444,0.353,6,3,0,Minnesota Wild
Jeff Gorton,0.35,0.444,0.273,0.35,7,5,0,New York Rangers
Rogie Vachon,0.346,0.48,0.222,0.346,18,8,0,Los Angeles Kings
Emile Francis,0.344,0.5,0.188,0.344,11,7,0,St. Louis Blues
Chuck Fletcher,0.341,0.476,0.217,0.341,15,6,0,Minnesota Wild
Mike O'Connell,0.333,0.444,0.222,0.333,6,3,0,Boston Bruins
Jack Ferreira,0.333,0.6,0.143,0.333,4,2,0,Minnesota North Stars
Ron Hextall,0.333,0.167,0.5,0.333,4,3,0,Philadelphia Flyers
Bob Gainey,0.333,0.353,0.312,0.333,11,6,0,Montréal Canadiens
Rejean Houle,0.333,0.3,0.364,0.333,7,3,0,Montréal Canadiens
Sid Abel,0.312,0.571,0.111,0.312,5,2,0,St. Louis Blues
Mike Milbury,0.294,0.429,0.2,0.294,5,3,0,New York Islanders
Rob Blake,0.273,0.2,0.333,0.273,3,5,0,Los Angeles Kings
Bud Poile,0.273,0.333,0.2,0.273,3,2,0,Philadelphia Flyers
Frank Selke Jr.,0.273,0.333,0.2,0.273,3,2,0,California Golden Seals
George Maguire,0.273,0.2,0.333,0.273,6,5,0,Los Angeles Kings
Muzz Patrick,0.273,0.5,0.143,0.273,6,7,0,New York Rangers
Odie Cleghorn,0.25,0.0,0.333,0.375,1,3,0,Pittsburgh Pirates
Harry Neale,0.25,0.5,0.0,0.25,2,2,0,Vancouver Canucks
Clem Loughlin,0.25,0.5,0.0,0.375,1,2,0,Chicago Blackhawks
Dave Gill,0.25,0.167,0.333,0.458,3,5,1,Ottawa Senators (1917)
John Ferguson Sr.,0.25,0.375,0.15,0.25,9,7,0,Winnipeg Jets (1979)
Phil Esposito,0.2,0.2,0.2,0.2,2,3,0,New York Rangers
Sid Salomon III,0.2,0.5,0.0,0.2,1,2,0,St. Louis Blues
Eddie Gerard,0.167,0.0,0.333,0.25,1,2,0,Montreal Maroons
Phil Maloney,0.143,0.0,0.25,0.143,1,2,0,Vancouver Canucks
Hap Day,0.111,0.25,0.0,0.111,1,2,0,Toronto Maple Leafs
Punch Imlach,0.0,0.0,0.0,0.0,0,2,0,Toronto Maple Leafs
