GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Doug Risebrough,0.379,0.308,0.438,0.379,11,0,6,['Minnesota Wild']
Red Dutton,0.375,0.571,0.222,0.375,6,0,5,['Brooklyn Americans']
Gerry Meehan,0.368,0.444,0.3,0.368,14,0,6,['Buffalo Sabres']
Jim Gregory,0.361,0.414,0.312,0.361,22,0,11,['Toronto Maple Leafs']
Baz Bastien,0.36,0.364,0.357,0.36,9,0,6,['Pittsburgh Penguins']
Dave Taylor,0.357,0.462,0.267,0.357,10,0,5,['Los Angeles Kings']
Dale Tallon,0.353,0.444,0.25,0.353,6,0,9,['Florida Panthers']
Jeff Gorton,0.35,0.444,0.273,0.35,7,0,5,['New York Rangers']
Rogie Vachon,0.346,0.48,0.222,0.346,18,0,8,['Los Angeles Kings']
Chuck Fletcher,0.341,0.476,0.217,0.341,15,0,6,['Minnesota Wild']
Rob Blake,0.273,0.2,0.333,0.273,3,0,5,['Los Angeles Kings']
George Maguire,0.273,0.2,0.333,0.273,6,0,5,['Los Angeles Kings']
Muzz Patrick,0.273,0.5,0.143,0.273,6,0,7,['New York Rangers']
Dave Gill,0.25,0.167,0.333,0.458,3,1,5,['Ottawa Senators (1917)']
John Ferguson Sr.,0.25,0.375,0.15,0.25,9,0,7,['Winnipeg Jets (1979)']
