GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Gerry Meehan,0.449,0.548,0.349,0.516,243,0,7,['Buffalo Sabres']
Garth Snow,0.447,0.48,0.415,0.512,425,0,12,['New York Islanders']
Tommy Ivan,0.446,0.536,0.355,0.532,752,1,23,['Chicago Blackhawks']
Brian Burke,0.445,0.476,0.415,0.539,219,0,6,['Vancouver Canucks']
Sid Abel,0.444,0.58,0.307,0.517,272,0,9,['Detroit Red Wings']
Bryan Murray,0.442,0.492,0.407,0.52,538,0,16,"['Ottawa Senators', 'Florida Panthers']"
Dave Taylor,0.442,0.497,0.387,0.522,290,0,9,['Los Angeles Kings']
Emile Francis,0.434,0.533,0.351,0.5,839,0,25,"['St. Louis Blues', 'Hartford Whalers', 'New York Rangers']"
Jim Benning,0.432,0.47,0.395,0.487,242,0,8,['Vancouver Canucks']
Maurice Filion,0.432,0.522,0.342,0.499,311,0,9,['Quebec Nordiques']
Dean Lombardi,0.43,0.481,0.38,0.495,745,2,22,"['Los Angeles Kings', 'San Jose Sharks']"
Jim Gregory,0.424,0.52,0.327,0.506,334,0,10,['Toronto Maple Leafs']
Rogie Vachon,0.424,0.496,0.351,0.483,283,0,9,['Los Angeles Kings']
Rejean Houle,0.423,0.46,0.387,0.499,180,0,6,['Montréal Canadiens']
Lester Patrick,0.421,0.467,0.375,0.505,395,3,20,['New York Rangers']
Pat Quinn,0.413,0.457,0.368,0.475,328,0,11,['Vancouver Canucks']
Scott Howson,0.411,0.477,0.344,0.481,174,0,6,['Columbus Blue Jackets']
Lou Nanne,0.403,0.484,0.322,0.487,334,0,11,['Minnesota North Stars']
Pierre Dorion,0.403,0.453,0.351,0.458,195,0,7,['Ottawa Senators']
Mike Smith,0.397,0.484,0.314,0.464,176,0,6,['Winnipeg Jets (1979)']
Mike Barnett,0.395,0.449,0.341,0.474,162,0,6,['Phoenix Coyotes']
Jack Ferreira,0.386,0.434,0.339,0.444,146,0,5,['Anaheim Ducks']
George Maguire,0.384,0.468,0.3,0.469,204,0,7,['Los Angeles Kings']
Al Coates,0.382,0.453,0.308,0.456,152,0,5,['Calgary Flames']
Steve Tambellini,0.374,0.41,0.339,0.436,138,0,5,['Edmonton Oilers']
Percy Thompson,0.373,0.524,0.222,0.377,47,0,5,['Hamilton Tigers']
John Ferguson Sr.,0.372,0.448,0.295,0.438,271,0,10,['Winnipeg Jets (1979)']
Mike Milbury,0.371,0.413,0.329,0.438,294,0,11,['New York Islanders']
Baz Bastien,0.366,0.494,0.237,0.448,193,0,7,['Pittsburgh Penguins']
Jim Devellano,0.364,0.453,0.275,0.432,233,0,8,['Detroit Red Wings']
Frederic McLaughlin,0.357,0.418,0.297,0.424,104,0,7,['Chicago Blackhawks']
Muzz Patrick,0.356,0.409,0.302,0.443,227,0,10,['New York Rangers']
Wren Blair,0.351,0.45,0.253,0.452,189,0,7,['Minnesota North Stars']
Eddie Johnston,0.35,0.425,0.275,0.4,140,0,5,['Pittsburgh Penguins']
Doug MacLean,0.35,0.451,0.248,0.413,172,0,7,['Columbus Blue Jackets']
Phil Esposito,0.338,0.364,0.313,0.397,157,0,7,['Tampa Bay Lightning']
Frank Boucher,0.326,0.41,0.243,0.425,199,0,10,['New York Rangers']
Jake Milford,0.325,0.395,0.255,0.429,130,0,5,['Vancouver Canucks']
Lynn Patrick,0.325,0.418,0.231,0.412,250,0,11,['Boston Bruins']
Bill Tobin,0.321,0.397,0.246,0.392,327,1,18,['Chicago Blackhawks']
Red Dutton,0.316,0.411,0.22,0.39,106,0,7,['Brooklyn Americans']
Larry Regan,0.312,0.44,0.185,0.381,151,0,7,['Los Angeles Kings']
Gerry McNamara,0.311,0.396,0.225,0.373,164,0,7,['Toronto Maple Leafs']
Max McNab,0.278,0.368,0.188,0.364,127,0,7,['Washington Capitals']
Ray Miron,0.237,0.32,0.155,0.329,95,0,5,['Colorado Rockies']
