GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
John Ferguson Jr.,0.462,0.714,0.167,0.462,6,0,1,['Toronto Maple Leafs']
Maurice Filion,0.456,0.531,0.389,0.456,31,0,7,['Quebec Nordiques']
Jake Milford,0.452,0.577,0.333,0.452,24,0,8,"['Los Angeles Kings', 'Vancouver Canucks']"
Bob Gainey,0.449,0.561,0.443,0.449,64,1,14,"['Montréal Canadiens', 'Dallas Stars']"
Steve Sullivan,0.444,0.75,0.2,0.444,4,0,1,['Arizona Coyotes']
Charles Querrie,0.444,0.571,0.0,0.472,8,2,8,['Toronto St. Patricks']
Lynn Patrick,0.443,0.593,0.28,0.443,23,0,6,"['St. Louis Blues', 'Boston Bruins']"
Dale Tallon,0.441,0.588,0.294,0.441,15,0,10,"['Florida Panthers', 'Chicago Blackhawks']"
Bob Pulford,0.441,0.532,0.338,0.441,68,0,18,"['Chicago Blackhawks', 'Chicago Blackhawks']"
David Poile,0.44,0.516,0.361,0.44,106,0,33,"['Washington Capitals', 'Nashville Predators']"
Chuck Grillo,0.44,0.455,0.429,0.44,11,0,2,['San Jose Sharks']
Ted Lindsay,0.429,0.333,0.5,0.429,3,0,1,['Detroit Red Wings']
Don Maloney,0.427,0.44,0.417,0.427,21,0,5,"['New York Islanders', 'Arizona Coyotes']"
Bill Tobin,0.425,0.556,0.318,0.425,17,1,16,['Chicago Blackhawks']
Dave Nonis,0.423,0.333,0.5,0.423,8,0,2,"['Toronto Maple Leafs', 'Vancouver Canucks']"
Kyle Dubas,0.423,0.357,0.5,0.423,11,0,4,['Toronto Maple Leafs']
Doug Armstrong,0.419,0.391,0.493,0.421,61,1,16,"['St. Louis Blues', 'Dallas Stars']"
Art Ross,0.418,0.479,0.356,0.438,61,3,28,['Boston Bruins']
Kevin Cheveldayoff,0.41,0.35,0.474,0.41,16,0,7,['Winnipeg Jets']
Marshall Johnston,0.409,0.5,0.333,0.409,9,0,3,['Ottawa Senators']
Jarmo Kekalainen,0.405,0.353,0.45,0.405,15,0,7,['Columbus Blue Jackets']
Ron Caron,0.405,0.607,0.327,0.405,52,0,12,"['St. Louis Blues', 'St. Louis Blues']"
Frederic McLaughlin,0.4,0.571,0.25,0.5,6,0,6,['Chicago Blackhawks']
Francois Giguere,0.4,0.4,0.4,0.4,4,0,1,['Colorado Avalanche']
Eddie Johnston,0.4,0.667,0.182,0.4,8,0,3,['Hartford Whalers']
Emile Francis,0.394,0.516,0.319,0.394,55,0,20,"['St. Louis Blues', 'New York Rangers', 'Hartford Whalers']"
Doug Risebrough,0.39,0.292,0.48,0.39,19,0,9,"['Calgary Flames', 'Minnesota Wild']"
Larry Regan,0.389,0.556,0.222,0.389,7,0,2,['Los Angeles Kings']
Wren Blair,0.389,0.682,0.231,0.389,21,0,7,"['Pittsburgh Penguins', 'Minnesota North Stars']"
Greg Sherman,0.385,0.571,0.167,0.385,5,0,5,['Colorado Avalanche']
Ray Shero,0.382,0.582,0.509,0.382,59,1,9,"['Pittsburgh Penguins', 'New Jersey Devils']"
Brad Treliving,0.381,0.5,0.25,0.381,16,0,8,['Calgary Flames']
Garth Snow,0.379,0.385,0.375,0.379,11,0,10,['New York Islanders']
Sid Abel,0.375,0.533,0.294,0.375,26,0,10,"['St. Louis Blues', 'Detroit Red Wings']"
Cecil Hart,0.375,0.6,0.0,0.375,3,0,2,['Montréal Canadiens']
Red Dutton,0.375,0.571,0.222,0.375,6,0,5,['Brooklyn Americans']
Bill Zito,0.375,0.375,0.375,0.375,6,0,2,['Florida Panthers']
Gerry Meehan,0.368,0.444,0.3,0.368,14,0,6,['Buffalo Sabres']
Jim Gregory,0.361,0.414,0.312,0.361,22,0,11,['Toronto Maple Leafs']
Bobby Smith,0.36,0.417,0.308,0.36,9,0,4,['Phoenix Coyotes']
Baz Bastien,0.36,0.364,0.357,0.36,9,0,6,['Pittsburgh Penguins']
Ron Hextall,0.359,0.333,0.385,0.359,9,0,5,"['Philadelphia Flyers', 'Pittsburgh Penguins']"
Dave Taylor,0.357,0.462,0.267,0.357,10,0,5,['Los Angeles Kings']
Bill Guerin,0.353,0.25,0.444,0.353,6,0,3,['Minnesota Wild']
Jeff Gorton,0.35,0.444,0.273,0.35,7,0,5,['New York Rangers']
Jack Ferreira,0.348,0.545,0.167,0.348,8,0,3,"['Minnesota North Stars', 'Anaheim Ducks']"
Rogie Vachon,0.346,0.48,0.222,0.346,18,0,8,['Los Angeles Kings']
Eddie Gerard,0.346,0.353,0.625,0.441,11,1,5,"['Montreal Maroons', 'Montreal Maroons']"
Mike O'Connell,0.333,0.444,0.222,0.333,6,0,3,['Boston Bruins']
Pierre Page,0.333,0.667,0.0,0.333,2,0,1,['Quebec Nordiques']
John Paddock,0.333,0.333,0.333,0.333,2,0,1,['Phoenix Coyotes']
John Andersen,0.333,0.0,1.0,0.333,1,0,1,['Buffalo Sabres']
Jules Dugal,0.333,1.0,0.0,0.333,1,0,1,['Montréal Canadiens']
Gord Stellick,0.333,0.0,0.667,0.333,2,0,1,['Toronto Maple Leafs']
Rejean Houle,0.333,0.3,0.364,0.333,7,0,3,['Montréal Canadiens']
John Brophy,0.333,0.0,0.667,0.333,2,0,1,['Toronto Maple Leafs']
Dick Duff,0.333,0.0,0.667,0.333,2,0,1,['Toronto Maple Leafs']
Punch Imlach,0.319,0.648,0.275,0.319,65,4,19,"['Buffalo Sabres', 'Toronto Maple Leafs', 'Toronto Maple Leafs']"
Pierre Gauthier,0.302,0.476,0.37,0.302,20,0,5,"['Ottawa Senators', 'Anaheim Ducks', 'Montréal Canadiens']"
Mike Smith,0.3,0.455,0.286,0.3,9,0,5,"['Chicago Blackhawks', 'Winnipeg Jets (1979)']"
Jack Riley,0.3,0.571,0.286,0.3,6,0,2,"['Pittsburgh Penguins', 'Pittsburgh Penguins']"
Mike Milbury,0.294,0.429,0.2,0.294,5,0,3,['New York Islanders']
John Ferguson Sr.,0.292,0.412,0.136,0.292,10,0,8,"['New York Rangers', 'Winnipeg Jets (1979)']"
Rob Blake,0.273,0.2,0.333,0.273,3,0,5,['Los Angeles Kings']
Bud Poile,0.273,0.333,0.2,0.273,3,0,2,['Philadelphia Flyers']
Frank Selke Jr.,0.273,0.333,0.2,0.273,3,0,2,['California Golden Seals']
George Maguire,0.273,0.2,0.333,0.273,6,0,5,['Los Angeles Kings']
Muzz Patrick,0.273,0.5,0.143,0.273,6,0,7,['New York Rangers']
Phil Esposito,0.267,0.25,0.25,0.267,4,0,4,"['Tampa Bay Lightning', 'New York Rangers']"
Odie Cleghorn,0.25,0.0,0.333,0.375,1,0,3,['Pittsburgh Pirates']
Sprague Cleghorn,0.25,0.5,0.0,0.5,1,0,1,['Montreal Maroons']
Harry Neale,0.25,0.5,0.0,0.25,2,0,2,['Vancouver Canucks']
Clem Loughlin,0.25,0.5,0.0,0.375,1,0,2,['Chicago Blackhawks']
Don Waddell,0.25,0.63,0.28,0.25,24,0,5,"['Carolina Hurricanes', 'Atlanta Thrashers']"
Dunc Munro,0.25,0.0,0.5,0.25,1,0,1,['Montreal Maroons']
Dave Gill,0.25,0.167,0.333,0.458,3,1,5,['Ottawa Senators (1917)']
Mike Barnett,0.2,0.0,0.333,0.2,1,0,1,['Phoenix Coyotes']
Floyd Smith,0.2,0.5,0.0,0.2,1,0,1,['Toronto Maple Leafs']
Sid Salomon III,0.2,0.5,0.0,0.2,1,0,2,['St. Louis Blues']
Phil Maloney,0.143,0.0,0.25,0.143,1,0,2,['Vancouver Canucks']
Hap Day,0.111,0.25,0.0,0.111,1,0,2,['Toronto Maple Leafs']
Georges Boucher,0.0,0.0,0.0,0.0,0,0,1,['Montreal Maroons']
Scott Howson,0.0,0.0,0.0,0.0,0,0,1,['Columbus Blue Jackets']
Ray Miron,0.0,0.0,0.0,0.0,0,0,1,['Colorado Rockies']
Larry Gordon,0.0,0.0,0.0,0.0,0,0,1,['Edmonton Oilers']
Jack Gordon,0.0,0.0,0.0,0.0,0,0,2,"['Minnesota North Stars', 'Vancouver Canucks']"
Al Coates,0.0,0.0,0.0,0.0,0,0,1,['Calgary Flames']
Rick Dudley,0.0,0.0,0.0,0.0,0,0,1,['Ottawa Senators']
Bob McCammon,0.0,0.0,0.0,0.0,0,0,1,['Philadelphia Flyers']
Jack Kelley,0.0,0.0,0.0,0.0,0,0,1,['Hartford Whalers']
