Coach,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Teams
Kevin Constantine,0.398,0.522,0.276,0.398,21,5,0,"['Pittsburgh Penguins', 'New Jersey Devils', 'San Jose Sharks']"
Red Kelly,0.395,0.519,0.273,0.395,24,8,0,"['Toronto Maple Leafs', 'Los Angeles Kings', 'Pittsburgh Penguins']"
Terry Simpson,0.392,0.333,0.439,0.392,11,3,0,"['New York Islanders', 'Winnipeg Jets (1979)']"
Pat Quinn,0.387,0.442,0.32,0.387,94,15,0,"['Toronto Maple Leafs', 'Los Angeles Kings', 'Philadelphia Flyers', 'Vancouver Canucks', 'Vancouver Canucks']"
Ted Sator,0.386,0.486,0.306,0.386,11,3,0,"['New York Rangers', 'Buffalo Sabres']"
John Paddock,0.385,0.5,0.286,0.385,5,2,0,['Winnipeg Jets (1979)']
Ken Hitchcock,0.382,0.462,0.296,0.382,86,14,1,"['Dallas Stars', 'Philadelphia Flyers', 'St. Louis Blues', 'Columbus Blue Jackets']"
Dave Lewis,0.375,0.5,0.25,0.375,6,2,0,['Detroit Red Wings']
Dave Gill,0.375,0.25,0.5,0.562,3,2,1,['Ottawa Senators (1917)']
Marcel Pronovost,0.375,0.75,0.0,0.375,3,1,0,['Buffalo Sabres']
Rick Ley,0.374,0.35,0.393,0.374,9,3,0,"['Vancouver Canucks', 'Hartford Whalers']"
Paul Thompson,0.368,0.444,0.3,0.368,7,4,0,['Chicago Blackhawks']
Red Dutton,0.364,0.4,0.333,0.364,4,3,0,['New York Americans']
Robbie Ftorek,0.358,0.444,0.264,0.358,10,4,0,"['Boston Bruins', 'Los Angeles Kings', 'New Jersey Devils']"
Ron Low,0.357,0.25,0.438,0.357,10,3,0,['Edmonton Oilers']
Red Berenson,0.357,0.571,0.143,0.357,5,2,0,['St. Louis Blues']
Bob Hartley,0.356,0.473,0.257,0.356,54,6,1,"['Calgary Flames', 'Colorado Avalanche', 'Atlanta Thrashers']"
Dean Evason,0.353,0.25,0.444,0.353,6,3,0,['Minnesota Wild']
Terry Murray,0.351,0.319,0.384,0.351,50,10,0,"['Los Angeles Kings', 'Philadelphia Flyers', 'Washington Capitals', 'Florida Panthers']"
Eddie Gerard,0.346,0.214,0.567,0.441,11,5,1,"['Montreal Maroons', 'Montreal Maroons']"
Bob Pulford,0.341,0.414,0.265,0.341,28,10,0,"['Chicago Blackhawks', 'Chicago Blackhawks', 'Chicago Blackhawks', 'Los Angeles Kings']"
Dave Tippett,0.339,0.339,0.347,0.339,34,10,0,"['Dallas Stars', 'Edmonton Oilers', 'Phoenix Coyotes']"
Brian Sutter,0.335,0.283,0.365,0.335,28,8,0,"['Boston Bruins', 'Chicago Blackhawks', 'St. Louis Blues']"
Jim Playfair,0.333,0.667,0.0,0.333,2,1,0,['Calgary Flames']
John Torchetti,0.333,0.333,0.333,0.333,2,1,0,['Minnesota Wild']
Rick Dudley,0.333,0.5,0.167,0.333,4,2,0,['Buffalo Sabres']
Brent Sutter,0.333,0.286,0.4,0.333,4,2,0,['New Jersey Devils']
Cory Clouston,0.333,0.0,0.667,0.333,2,1,0,['Ottawa Senators']
Todd Richards,0.333,0.333,0.333,0.333,2,1,0,['Columbus Blue Jackets']
Joe Sacco,0.333,0.333,0.333,0.333,2,1,0,['Colorado Avalanche']
Willie Desjardins,0.333,0.667,0.0,0.333,2,1,0,['Vancouver Canucks']
Dave Cameron,0.333,0.333,0.333,0.333,2,1,0,['Ottawa Senators']
Dave Hakstol,0.333,0.167,0.5,0.333,4,2,0,['Philadelphia Flyers']
Nick Beverley,0.333,0.667,0.0,0.333,2,1,0,['Toronto Maple Leafs']
Leo Boivin,0.333,1.0,0.0,0.333,1,1,0,['St. Louis Blues']
Charlie Burns,0.333,0.667,0.0,0.333,2,1,0,['Minnesota North Stars']
John Cunniff,0.333,0.333,0.333,0.333,2,1,0,['New Jersey Devils']
Jules Dugal,0.333,1.0,0.0,0.333,1,1,0,['Montréal Canadiens']
Doug Harvey,0.333,1.0,0.0,0.333,2,1,0,['New York Rangers']
Billy Inglis,0.333,0.0,1.0,0.333,1,1,0,['Buffalo Sabres']
Frank Patrick,0.333,0.667,0.0,0.333,2,2,0,['Boston Bruins']
Ken Schinkel,0.333,0.333,0.333,0.333,2,2,0,['Pittsburgh Penguins']
Johnny Wilson,0.333,0.2,0.429,0.333,4,2,0,['Pittsburgh Penguins']
Todd Reirden,0.333,0.5,0.143,0.367,5,2,0,['Washington Capitals']
Joe Crozier,0.333,0.333,0.333,0.333,2,1,0,['Buffalo Sabres']
Larry Robinson,0.323,0.271,0.375,0.323,31,3,1,"['Los Angeles Kings', 'New Jersey Devils']"
Dit Clapper,0.32,0.417,0.231,0.32,8,4,0,['Boston Bruins']
Emile Francis,0.318,0.443,0.195,0.318,39,11,0,"['New York Rangers', 'St. Louis Blues', 'St. Louis Blues']"
Bob Murdoch,0.314,0.583,0.125,0.314,4,2,0,"['Chicago Blackhawks', 'Winnipeg Jets (1979)']"
Ted Nolan,0.308,0.143,0.467,0.308,6,2,0,"['Buffalo Sabres', 'New York Islanders']"
Bob Berry,0.306,0.324,0.303,0.306,11,7,0,"['Montréal Canadiens', 'Los Angeles Kings', 'St. Louis Blues']"
Sid Abel,0.292,0.405,0.201,0.292,32,9,0,"['Chicago Blackhawks', 'Detroit Red Wings', 'Detroit Red Wings']"
Bob Gainey,0.285,0.2,0.375,0.285,25,6,0,"['Montréal Canadiens', 'Montréal Canadiens', 'Minnesota North Stars']"
Bill Barber,0.273,0.333,0.2,0.273,3,2,0,['Philadelphia Flyers']
Keith Allen,0.273,0.333,0.2,0.273,3,2,0,['Philadelphia Flyers']
Fred Glover,0.273,0.333,0.2,0.273,3,2,0,['Oakland Seals']
Barry Long,0.273,0.4,0.167,0.273,3,2,0,['Winnipeg Jets (1979)']
John McLellan,0.273,0.2,0.333,0.273,3,2,0,['Toronto Maple Leafs']
Mario Tremblay,0.273,0.2,0.333,0.273,3,2,0,['Montréal Canadiens']
Jean-Guy Talbot,0.267,0.75,0.0,0.267,2,2,0,"['New York Rangers', 'St. Louis Blues']"
Bob McCammon,0.264,0.333,0.225,0.264,4,4,0,"['Philadelphia Flyers', 'Vancouver Canucks']"
Craig Hartsburg,0.25,0.312,0.188,0.25,8,3,0,"['Chicago Blackhawks', 'Anaheim Ducks']"
Odie Cleghorn,0.25,0.0,0.333,0.375,1,2,0,['Pittsburgh Pirates']
Sprague Cleghorn,0.25,0.5,0.0,0.5,1,1,0,['Montreal Maroons']
Clem Loughlin,0.25,0.5,0.0,0.375,1,2,0,['Chicago Blackhawks']
Barclay Plager,0.25,0.0,0.5,0.25,1,1,0,['St. Louis Blues']
Phil Watson,0.25,0.333,0.2,0.25,4,3,0,['New York Rangers']
Jerry LaFlamme,0.25,0.0,0.5,0.25,1,1,0,['Montreal Maroons']
Punch Imlach,0.247,0.315,0.174,0.247,44,11,4,"['Toronto Maple Leafs', 'Toronto Maple Leafs']"
John Stevens,0.239,0.3,0.192,0.239,11,3,0,"['Los Angeles Kings', 'Philadelphia Flyers']"
Craig Patrick,0.233,0.405,0.095,0.233,8,3,0,"['New York Rangers', 'New York Rangers', 'Pittsburgh Penguins']"
Harry Neale,0.225,0.375,0.083,0.225,3,4,0,"['Vancouver Canucks', 'Vancouver Canucks']"
Pierre Page,0.222,0.422,0.048,0.222,6,4,0,"['Minnesota North Stars', 'Calgary Flames', 'Quebec Nordiques']"
Andy Murray,0.208,0.273,0.154,0.208,10,4,0,"['Los Angeles Kings', 'St. Louis Blues']"
John Hynes,0.207,0.464,0.0,0.207,4,4,0,"['New Jersey Devils', 'Nashville Predators']"
Bob Francis,0.2,0.25,0.167,0.2,2,2,0,['Phoenix Coyotes']
Kevin Lowe,0.2,0.5,0.0,0.2,1,1,0,['Edmonton Oilers']
Mike Kitchen,0.2,0.5,0.0,0.2,1,1,0,['St. Louis Blues']
Mike Murphy,0.2,0.0,0.333,0.2,1,1,0,['Los Angeles Kings']
Mike O'Connell,0.2,0.5,0.0,0.2,1,1,0,['Boston Bruins']
Steve Stirling,0.2,0.0,0.333,0.2,1,1,0,['New York Islanders']
Bill Peters,0.2,0.333,0.0,0.2,1,1,0,['Calgary Flames']
Mike Johnston,0.2,0.0,0.333,0.2,1,1,0,['Pittsburgh Penguins']
Jeff Blashill,0.2,0.5,0.0,0.2,1,1,0,['Detroit Red Wings']
Doug Carpenter,0.2,0.5,0.0,0.2,1,1,0,['Toronto Maple Leafs']
Steve Kasper,0.2,0.5,0.0,0.2,1,1,0,['Boston Bruins']
Larry Pleau,0.2,0.2,0.2,0.2,2,2,0,['Hartford Whalers']
Alf Smith,0.2,0.5,0.0,0.2,1,1,0,['Ottawa Senators (1917)']
Newsy Lalonde,0.194,0.333,0.125,0.375,7,5,0,"['Montréal Canadiens', 'Montréal Canadiens', 'Ottawa Senators (1917)']"
Phil Esposito,0.167,0.167,0.167,0.167,2,2,0,"['New York Rangers', 'New York Rangers']"
King Clancy,0.143,0.167,0.125,0.143,2,3,0,['Toronto Maple Leafs']
Phil Maloney,0.143,0.0,0.25,0.143,1,2,0,['Vancouver Canucks']
Mike Nykoluk,0.143,0.333,0.0,0.143,1,2,0,['Toronto Maple Leafs']
Nick Polano,0.143,0.0,0.25,0.143,1,2,0,['Detroit Red Wings']
Fred Creighton,0.111,0.25,0.0,0.111,1,4,0,['Atlanta Flames']
Tom Watt,0.071,0.167,0.0,0.071,1,3,0,"['Vancouver Canucks', 'Winnipeg Jets (1979)']"
Butch Goring,0.0,0.0,0.0,0.0,0,1,0,['Boston Bruins']
Glen Gulutzan,0.0,0.0,0.0,0.0,0,1,0,['Calgary Flames']
Don Blackburn,0.0,0.0,0.0,0.0,0,1,0,['Hartford Whalers']
George Boucher,0.0,0.0,0.0,0.0,0,1,0,['Montreal Maroons']
Frank Carroll,0.0,0.0,0.0,0.0,0,1,0,['Toronto St. Patricks']
Alex Currie,0.0,0.0,0.0,0.25,0,1,0,['Ottawa Senators (1917)']
Art Duncan,0.0,0.0,0.0,0.25,0,1,0,['Toronto Maple Leafs']
John Ferguson Sr.,0.0,0.0,0.0,0.0,0,1,0,['Winnipeg Jets (1979)']
Bernie Geoffrion,0.0,0.0,0.0,0.0,0,1,0,['Atlanta Flames']
Johnny Gottselig,0.0,0.0,0.0,0.0,0,1,0,['Chicago Blackhawks']
Ted Harris,0.0,0.0,0.0,0.0,0,1,0,['Minnesota North Stars']
Pat Kelly,0.0,0.0,0.0,0.0,0,1,0,['Colorado Rockies']
Keith Magnuson,0.0,0.0,0.0,0.0,0,1,0,['Chicago Blackhawks']
Pete Muldoon,0.0,0.0,0.0,0.25,0,1,0,['Chicago Blackhawks']
Eddie Powers,0.0,0.0,0.0,0.0,0,1,0,['Toronto St. Patricks']
Vic Stasiuk,0.0,0.0,0.0,0.0,0,1,0,['Philadelphia Flyers']
Ron Stewart,0.0,0.0,0.0,0.0,0,1,0,['Los Angeles Kings']
Bill Tobin,0.0,0.0,0.0,0.25,0,1,0,['Chicago Blackhawks']
Bill White,0.0,0.0,0.0,0.0,0,1,0,['Chicago Blackhawks']
Garry Young,0.0,0.0,0.0,0.0,0,1,0,['St. Louis Blues']
David Quinn,0.0,0.0,0.0,0.0,0,1,0,['New York Rangers']
Eddie Oatman,0.0,0.0,0.0,0.0,0,1,0,['Calgary Tigers']
Ken McKenzie,0.0,0.0,0.0,0.0,0,1,0,['Edmonton Eskimos']
