Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Tom Renney,0.458,0.545,0.385,0.458,24,11,3,0,['New York Rangers']
Al Arbour,0.457,0.645,0.297,0.457,171,123,16,4,"['New York Islanders', 'New York Islanders', 'St. Louis Blues']"
Ron Wilson,0.457,0.509,0.398,0.457,52,47,8,0,"['San Jose Sharks', 'Washington Capitals', 'Anaheim Ducks']"
Peter Laviolette,0.456,0.578,0.343,0.456,25,78,13,1,"['Carolina Hurricanes', 'Nashville Predators', 'Philadelphia Flyers', 'New York Islanders', 'Washington Capitals']"
Michel Bergeron,0.456,0.531,0.389,0.456,68,31,7,0,['Quebec Nordiques']
Joel Quenneville,0.454,0.495,0.41,0.454,128,121,20,3,"['Chicago Blackhawks', 'St. Louis Blues', 'Colorado Avalanche', 'Florida Panthers']"
Lynn Patrick,0.452,0.567,0.383,0.461,12,16,5,0,"['New York Rangers', 'Boston Bruins']"
Jim Schoenfeld,0.45,0.462,0.451,0.45,20,26,6,0,"['New Jersey Devils', 'Washington Capitals', 'Phoenix Coyotes']"
Craig Berube,0.45,0.487,0.445,0.455,51,27,5,1,"['St. Louis Blues', 'Philadelphia Flyers']"
Rudy Pilous,0.45,0.7,0.2,0.45,40,18,5,1,['Chicago Blackhawks']
Jacques Martin,0.449,0.542,0.359,0.449,26,50,12,0,"['Montréal Canadiens', 'Ottawa Senators', 'St. Louis Blues']"
Paul Maurice,0.447,0.44,0.458,0.447,35,41,9,0,"['Carolina Hurricanes', 'Carolina Hurricanes', 'Winnipeg Jets']"
Eddie Johnston,0.443,0.6,0.312,0.443,36,25,6,0,"['Pittsburgh Penguins', 'Chicago Blackhawks', 'Pittsburgh Penguins']"
Gerry Cheevers,0.441,0.579,0.267,0.441,34,15,4,0,['Boston Bruins']
Milt Schmidt,0.441,0.588,0.294,0.441,34,15,4,0,['Boston Bruins']
Jack Gordon,0.44,0.538,0.333,0.44,25,11,3,0,['Minnesota North Stars']
Jacques Lemaire,0.435,0.455,0.396,0.435,56,61,10,1,"['New Jersey Devils', 'Montréal Canadiens', 'Minnesota Wild', 'New Jersey Devils']"
Tom Webster,0.429,0.571,0.286,0.429,28,12,3,0,['Los Angeles Kings']
Sheldon Keefe,0.421,0.364,0.5,0.421,19,8,3,0,['Toronto Maple Leafs']
Leo Dandurand,0.417,0.667,0.167,0.5,12,10,4,1,"['Montréal Canadiens', 'Ottawa Senators (1917)', 'Montréal Canadiens']"
Jack Capuano,0.417,0.455,0.385,0.417,24,10,3,0,['New York Islanders']
Herb Brooks,0.415,0.452,0.402,0.415,11,19,5,0,"['Pittsburgh Penguins', 'New York Rangers', 'New Jersey Devils']"
Bruce Cassidy,0.413,0.243,0.583,0.413,73,38,7,0,"['Boston Bruins', 'Washington Capitals']"
Cecil Hart,0.412,0.567,0.179,0.446,29,16,8,2,"['Montréal Canadiens', 'Montréal Canadiens']"
Tommy Gorman,0.406,0.262,0.542,0.532,8,13,5,2,"['Chicago Blackhawks', 'Montreal Maroons', 'New York Americans']"
Bruce Boudreau,0.406,0.42,0.388,0.406,43,43,10,0,"['Anaheim Ducks', 'Washington Capitals', 'Minnesota Wild']"
Dave King,0.4,0.273,0.556,0.4,20,8,3,0,['Calgary Flames']
Kevin Constantine,0.398,0.522,0.276,0.398,25,21,5,0,"['San Jose Sharks', 'Pittsburgh Penguins', 'New Jersey Devils']"
Red Kelly,0.395,0.519,0.273,0.395,14,24,8,0,"['Pittsburgh Penguins', 'Los Angeles Kings', 'Toronto Maple Leafs']"
Terry Simpson,0.392,0.333,0.439,0.392,20,11,3,0,"['New York Islanders', 'Winnipeg Jets (1979)']"
Pat Quinn,0.387,0.442,0.32,0.387,39,94,15,0,"['Philadelphia Flyers', 'Vancouver Canucks', 'Toronto Maple Leafs', 'Vancouver Canucks', 'Los Angeles Kings']"
Ted Sator,0.386,0.486,0.306,0.386,16,11,3,0,"['New York Rangers', 'Buffalo Sabres']"
Ken Hitchcock,0.382,0.462,0.296,0.382,80,86,14,1,"['Dallas Stars', 'Philadelphia Flyers', 'St. Louis Blues', 'Columbus Blue Jackets']"
Rick Ley,0.374,0.35,0.393,0.374,13,9,3,0,"['Hartford Whalers', 'Vancouver Canucks']"
Paul Thompson,0.368,0.444,0.3,0.368,19,7,4,0,['Chicago Blackhawks']
Red Dutton,0.364,0.4,0.333,0.364,11,4,3,0,['New York Americans']
