Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Emil Iverson,0.366,0.528,0.2,0.486,71,26,2,0,['Chicago Blackhawks']
Butch Goring,0.365,0.422,0.314,0.431,93,83,4,0,"['Boston Bruins', 'New York Islanders']"
Bob Plager,0.364,0.375,0.333,0.409,11,4,1,0,['St. Louis Blues']
Johnny Gottselig,0.363,0.425,0.301,0.411,146,53,4,0,['Chicago Blackhawks']
Joe Crozier,0.363,0.452,0.274,0.44,40,90,4,0,"['Toronto Maple Leafs', 'Buffalo Sabres']"
Rick Bowness,0.362,0.428,0.3,0.429,80,230,13,0,"['Boston Bruins', 'Dallas Stars', 'New York Islanders', 'Winnipeg Jets (1979)', 'Phoenix Coyotes', 'Ottawa Senators', 'Winnipeg Jets']"
George Armstrong,0.362,0.435,0.292,0.404,47,17,1,0,['Toronto Maple Leafs']
Eddie Gerard,0.362,0.466,0.263,0.413,22,166,11,1,"['Ottawa Senators (1917)', 'St. Louis Eagles', 'Montreal Maroons', 'Montreal Maroons', 'New York Americans']"
Paul Thompson,0.361,0.497,0.224,0.436,313,113,7,0,['Chicago Blackhawks']
Randy Cunneyworth,0.36,0.458,0.269,0.45,50,18,1,0,['Montréal Canadiens']
George Boucher,0.36,0.476,0.243,0.436,83,50,4,0,"['Ottawa Senators (1917)', 'Boston Bruins', 'Montreal Maroons']"
King Clancy,0.357,0.512,0.182,0.429,210,86,4,0,"['Toronto Maple Leafs', 'Montreal Maroons']"
Tom Watt,0.357,0.453,0.261,0.42,149,176,7,0,"['Toronto Maple Leafs', 'Vancouver Canucks', 'Winnipeg Jets (1979)']"
Michel Bergeron,0.356,0.434,0.278,0.414,158,338,10,0,"['New York Rangers', 'Quebec Nordiques', 'Quebec Nordiques']"
Dan Maloney,0.355,0.424,0.285,0.412,160,136,5,0,"['Toronto Maple Leafs', 'Winnipeg Jets (1979)']"
Alpo Suhonen,0.354,0.342,0.366,0.433,82,29,1,0,['Chicago Blackhawks']
Phil Housley,0.354,0.39,0.317,0.421,164,58,2,0,['Buffalo Sabres']
Lynn Patrick,0.35,0.496,0.233,0.423,310,165,10,0,"['Boston Bruins', 'New York Rangers', 'St. Louis Blues', 'St. Louis Blues']"
Bill White,0.348,0.52,0.143,0.413,46,16,1,0,['Chicago Blackhawks']
Greg Gilbert,0.347,0.4,0.295,0.442,121,42,3,0,['Calgary Flames']
Frank Boucher,0.346,0.452,0.225,0.423,487,181,11,1,"['New York Rangers', 'New York Rangers']"
Charlie Conacher,0.346,0.4,0.293,0.414,162,56,3,0,['Chicago Blackhawks']
Ted Green,0.346,0.43,0.263,0.402,188,65,3,0,['Edmonton Oilers']
Floyd Smith,0.346,0.376,0.315,0.383,68,173,5,0,"['Toronto Maple Leafs', 'Buffalo Sabres', 'Buffalo Sabres']"
Craig Ramsay,0.345,0.427,0.266,0.409,28,50,3,0,"['Philadelphia Flyers', 'Buffalo Sabres', 'Atlanta Thrashers']"
Barry Melrose,0.345,0.341,0.349,0.442,209,84,4,0,"['Los Angeles Kings', 'Tampa Bay Lightning']"
Rick Kehoe,0.344,0.392,0.296,0.419,160,55,2,0,['Pittsburgh Penguins']
Red Dutton,0.344,0.438,0.25,0.419,192,66,4,0,['New York Americans']
George Burnett,0.343,0.5,0.176,0.386,35,12,1,0,['Edmonton Oilers']
Pierre McGuire,0.343,0.364,0.324,0.396,67,23,1,0,['Hartford Whalers']
Bobby Kromm,0.342,0.431,0.252,0.431,231,79,3,0,['Detroit Red Wings']
Ron Smith,0.341,0.364,0.318,0.42,44,15,1,0,['New York Rangers']
Keith Allen,0.34,0.413,0.267,0.447,150,51,2,0,['Philadelphia Flyers']
Mike Murphy,0.337,0.384,0.288,0.393,164,80,4,0,"['Toronto Maple Leafs', 'Los Angeles Kings']"
John Cunniff,0.337,0.43,0.237,0.39,133,62,3,0,"['New Jersey Devils', 'Hartford Whalers']"
Dallas Eakins,0.336,0.369,0.303,0.404,113,121,6,0,"['Edmonton Oilers', 'Anaheim Ducks']"
Alex Delvecchio,0.335,0.464,0.2,0.4,245,82,4,0,['Detroit Red Wings']
Mike O'Connell,0.333,0.5,0.2,0.5,9,3,1,0,['Boston Bruins']
Rosie Helmer,0.333,0.417,0.25,0.406,48,16,1,0,['New York Americans']
John Brophy,0.332,0.423,0.24,0.378,193,64,3,0,['Toronto Maple Leafs']
Guy Charron,0.33,0.412,0.191,0.423,16,20,2,0,"['Calgary Flames', 'Anaheim Ducks']"
Nick Polano,0.329,0.425,0.233,0.4,240,79,3,0,['Detroit Red Wings']
Al Sims,0.329,0.342,0.317,0.378,82,27,1,0,['San Jose Sharks']
Glen Hanlon,0.326,0.369,0.282,0.406,239,78,4,0,['Washington Capitals']
Lorne Henning,0.326,0.353,0.289,0.382,158,87,4,0,"['Minnesota North Stars', 'New York Islanders', 'New York Islanders']"
Wren Blair,0.324,0.411,0.24,0.439,148,48,3,0,['Minnesota North Stars']
Trent Yawney,0.32,0.4,0.245,0.393,103,33,2,0,['Chicago Blackhawks']
Gary Green,0.319,0.443,0.192,0.411,157,50,3,0,['Washington Capitals']
Parker MacDonald,0.319,0.509,0.146,0.393,42,33,2,0,"['Los Angeles Kings', 'Minnesota North Stars']"
Harry Neale,0.319,0.372,0.267,0.392,35,150,7,0,"['Detroit Red Wings', 'Vancouver Canucks', 'Vancouver Canucks']"
Lionel Conacher,0.318,0.5,0.136,0.375,44,14,1,0,['New York Americans']
Mike Nykoluk,0.318,0.407,0.229,0.402,280,89,4,0,['Toronto Maple Leafs']
Ned Harkness,0.316,0.474,0.158,0.368,38,12,1,0,['Detroit Red Wings']
Johnny Wilson,0.316,0.428,0.205,0.401,145,187,7,0,"['Detroit Red Wings', 'Los Angeles Kings', 'Pittsburgh Penguins', 'Colorado Rockies']"
André Tourigny,0.312,0.298,0.323,0.362,109,34,2,0,['Arizona Coyotes']
Rogie Vachon,0.31,0.167,0.278,0.44,2,4,3,0,"['Los Angeles Kings', 'Los Angeles Kings', 'Los Angeles Kings']"
Don Perry,0.309,0.423,0.193,0.402,168,52,3,0,['Los Angeles Kings']
Bill Stewart,0.308,0.3,0.324,0.399,37,33,3,1,"['New York Islanders', 'Chicago Blackhawks']"
Larry Regan,0.307,0.386,0.227,0.386,88,27,2,0,['Los Angeles Kings']
Duane Sutter,0.306,0.351,0.257,0.41,72,22,2,0,['Florida Panthers']
Peter Horachek,0.304,0.429,0.198,0.349,42,35,2,0,"['Toronto Maple Leafs', 'Florida Panthers']"
Sid Abel,0.3,0.331,0.274,0.362,140,382,16,0,"['Chicago Blackhawks', 'Detroit Red Wings', 'Detroit Red Wings', 'St. Louis Blues', 'Kansas City Scouts']"
Don Blackburn,0.3,0.464,0.141,0.425,140,42,2,0,['Hartford Whalers']
Howie Meeker,0.3,0.343,0.257,0.407,70,21,1,0,['Toronto Maple Leafs']
Ken Randall,0.3,0.333,0.25,0.3,10,3,1,0,['Hamilton Tigers']
Leo Boivin,0.299,0.375,0.22,0.384,43,28,2,0,"['St. Louis Blues', 'St. Louis Blues']"
Jim Wiley,0.298,0.357,0.241,0.325,57,17,1,0,['San Jose Sharks']
Phil Watson,0.297,0.335,0.257,0.38,84,135,7,0,"['Boston Bruins', 'New York Rangers']"
Alf Pike,0.293,0.377,0.21,0.378,123,36,2,0,['New York Rangers']
Garry Young,0.293,0.363,0.219,0.396,12,43,3,0,"['California Golden Seals', 'St. Louis Blues']"
Danny Belisle,0.292,0.362,0.225,0.38,96,28,2,0,['Washington Capitals']
Joe Simpson,0.292,0.375,0.208,0.396,144,42,3,0,['New York Americans']
Bill Cook,0.291,0.383,0.193,0.393,117,34,2,0,['New York Rangers']
Mike Kitchen,0.29,0.318,0.262,0.378,131,38,3,0,['St. Louis Blues']
Barclay Plager,0.29,0.394,0.182,0.393,135,51,4,0,"['St. Louis Blues', 'St. Louis Blues']"
Orland Kurtenbach,0.288,0.344,0.23,0.396,125,36,2,0,['Vancouver Canucks']
Vic Stasiuk,0.285,0.409,0.163,0.384,75,88,4,0,"['California Golden Seals', 'Philadelphia Flyers', 'Vancouver Canucks']"
Tom McVie,0.283,0.37,0.199,0.359,60,126,8,0,"['New Jersey Devils', 'New Jersey Devils', 'Washington Capitals', 'Winnipeg Jets (1979)']"
Neil Colville,0.28,0.4,0.167,0.419,93,26,2,0,['New York Rangers']
Phil Esposito,0.279,0.261,0.3,0.279,43,24,2,0,"['New York Rangers', 'New York Rangers']"
Dominique Ducharme,0.277,0.375,0.186,0.361,83,23,2,0,['Montréal Canadiens']
Eddie Olczyk,0.274,0.304,0.246,0.354,113,31,2,0,['Pittsburgh Penguins']
John MacLean,0.273,0.333,0.222,0.303,33,9,1,0,['New Jersey Devils']
Billy Dea,0.273,0.286,0.25,0.273,11,3,1,0,['Detroit Red Wings']
Harry Howell,0.273,0.5,0.0,0.364,11,3,1,0,['Minnesota North Stars']
Dirk Graham,0.271,0.357,0.194,0.339,59,16,1,0,['Chicago Blackhawks']
Percy Thompson,0.271,0.417,0.125,0.271,48,13,2,0,['Hamilton Tigers']
Fred Glover,0.268,0.4,0.135,0.334,355,114,7,0,"['Oakland Seals', 'Los Angeles Kings']"
Ted Harris,0.268,0.4,0.135,0.344,179,48,3,0,['Minnesota North Stars']
Wayne Maxner,0.264,0.394,0.127,0.368,129,34,2,0,['Detroit Red Wings']
Doug Barkley,0.262,0.42,0.111,0.335,51,20,3,0,"['Detroit Red Wings', 'Detroit Red Wings']"
Charlie Burns,0.257,0.261,0.251,0.337,44,22,2,0,"['Minnesota North Stars', 'Minnesota North Stars']"
Steve Ludzik,0.256,0.373,0.145,0.351,121,31,2,0,['Tampa Bay Lightning']
Glen Sonmor,0.256,0.31,0.204,0.399,352,177,7,0,"['Minnesota North Stars', 'Minnesota North Stars', 'Minnesota North Stars']"
Milt Schmidt,0.254,0.314,0.194,0.326,460,250,13,0,"['Boston Bruins', 'Boston Bruins', 'Washington Capitals']"
Shorty Green,0.25,0.273,0.227,0.318,44,11,1,0,['New York Americans']
Art Chapman,0.25,0.354,0.146,0.323,96,24,2,0,['New York Americans']
Larry Kish,0.245,0.348,0.154,0.296,49,12,1,0,['Hartford Whalers']
Hal Laycoe,0.245,0.365,0.125,0.281,24,49,3,0,"['Los Angeles Kings', 'Vancouver Canucks']"
Lou Nanne,0.241,0.385,0.125,0.31,29,7,1,0,['Minnesota North Stars']
Luke Richardson,0.241,0.25,0.231,0.31,29,7,1,0,['Chicago Blackhawks']
Bill McCreary Sr.,0.24,0.35,0.123,0.317,32,23,3,0,"['California Golden Seals', 'St. Louis Blues', 'Vancouver Canucks']"
Red Sullivan,0.24,0.282,0.185,0.297,196,107,7,0,"['New York Rangers', 'Pittsburgh Penguins', 'Washington Capitals']"
Bill MacMillan,0.233,0.31,0.156,0.308,80,41,3,0,"['Colorado Rockies', 'New Jersey Devils']"
Craig MacTavish,0.229,0.256,0.203,0.369,656,301,9,0,"['Edmonton Oilers', 'Edmonton Oilers']"
Curt Fraser,0.229,0.259,0.2,0.312,279,64,4,0,['Atlanta Thrashers']
Cy Denneny,0.229,0.333,0.125,0.333,48,11,1,0,['Ottawa Senators (1917)']
Sylvio Mantha,0.229,0.208,0.25,0.344,48,11,1,0,['Montréal Canadiens']
Marshall Johnston,0.227,0.365,0.09,0.31,70,28,3,0,"['California Golden Seals', 'Colorado Rockies']"
Bryan Watson,0.222,0.1,0.375,0.361,18,4,1,0,['Edmonton Oilers']
Bill Sutherland,0.219,0.312,0.125,0.266,32,7,2,0,['Winnipeg Jets (1979)']
Pat Kelly,0.218,0.367,0.077,0.342,101,22,2,0,['Colorado Rockies']
Ebbie Goodfellow,0.214,0.243,0.186,0.282,140,30,2,0,['Chicago Blackhawks']
Earl Ingarfield,0.214,0.4,0.0,0.25,28,6,1,0,['New York Islanders']
Muzz Patrick,0.214,0.236,0.194,0.354,100,43,4,0,"['New York Rangers', 'New York Rangers', 'New York Rangers']"
Pit Lepine,0.208,0.208,0.208,0.26,48,10,1,0,['Montréal Canadiens']
Aldo Guidolin,0.203,0.226,0.179,0.271,59,12,1,0,['Colorado Rockies']
Bert Olmstead,0.203,0.324,0.081,0.318,74,15,1,0,['Oakland Seals']
Bill LaForge,0.2,0.333,0.091,0.25,20,4,1,0,['Vancouver Canucks']
Brad Park,0.2,0.217,0.182,0.222,45,9,1,0,['Detroit Red Wings']
Lou Angotti,0.194,0.266,0.14,0.259,80,22,3,0,"['Pittsburgh Penguins', 'St. Louis Blues']"
Dave Chambers,0.194,0.24,0.146,0.27,98,19,2,0,['Quebec Nordiques']
Andre Beaulieu,0.188,0.176,0.2,0.234,32,6,1,0,['Minnesota North Stars']
Frank Eddolls,0.186,0.171,0.2,0.307,70,13,1,0,['Chicago Blackhawks']
Ted Garvin,0.182,0.25,0.143,0.227,11,2,1,0,['Detroit Red Wings']
Duke Keats,0.182,0.167,0.2,0.273,11,2,1,0,['Detroit Cougars']
Barney Stanley,0.174,0.167,0.182,0.217,23,4,1,0,['Chicago Blackhawks']
Ted Lindsay,0.172,0.364,0.056,0.224,29,5,2,0,['Detroit Red Wings']
George Kingston,0.171,0.268,0.073,0.192,164,28,2,0,['San Jose Sharks']
Maurice Filion,0.167,0.0,0.167,0.333,6,1,1,0,['Quebec Nordiques']
Mike Quinn,0.167,0.333,0.0,0.167,24,4,1,0,['Quebec Bulldogs']
Herb Gardiner,0.156,0.071,0.222,0.219,32,5,1,0,['Chicago Blackhawks']
Hugh Lehman,0.143,0.0,0.273,0.167,21,3,1,0,['Chicago Blackhawks']
Bert Marshall,0.125,0.091,0.154,0.208,24,3,1,0,['Colorado Rockies']
Phil Goyette,0.12,0.167,0.077,0.16,50,6,1,0,['New York Islanders']
Frank Fredrickson,0.114,0.227,0.0,0.148,44,5,1,0,['Pittsburgh Pirates']
Cooper Smeaton,0.091,0.136,0.045,0.136,44,4,1,0,['Philadelphia Quakers']
Mike Smith,0.087,0.154,0.0,0.174,23,2,1,0,['Winnipeg Jets (1979)']
Larry Wilson,0.083,0.167,0.0,0.139,36,3,1,0,['Detroit Red Wings']
Dave Allison,0.08,0.0,0.133,0.1,25,2,1,0,['Ottawa Senators']
Jim Anderson,0.074,0.154,0.0,0.12,54,4,1,0,['Washington Capitals']
Eddie Bush,0.031,0.059,0.0,0.156,32,1,1,0,['Kansas City Scouts']
Rick Paterson,0.0,0.0,0.0,0.0,6,0,1,0,['Tampa Bay Lightning']
Gary Agnew,0.0,0.0,0.0,0.1,5,0,1,0,['Columbus Blue Jackets']
Roger Crozier,0.0,0.0,0.0,0.0,1,0,1,0,['Washington Capitals']
Dick Duff,0.0,0.0,0.0,0.0,2,0,1,0,['Toronto Maple Leafs']
Jacques Laperriere,0.0,0.0,0.0,0.0,1,0,1,0,['Montréal Canadiens']
Mike Rodden,0.0,0.0,0.0,0.0,2,0,1,0,['Toronto St. Patricks']
Ryan Huska,0.0,0.0,0.0,0.25,2,0,1,0,['Calgary Flames']
