Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Mike Sullivan,0.507,0.541,0.472,0.592,164,385,10,2,"['Boston Bruins', 'Pittsburgh Penguins']"
Terry O'Reilly,0.507,0.56,0.451,0.564,227,115,3,0,['Boston Bruins']
Dave Lewis,0.506,0.573,0.439,0.566,82,131,3,0,"['Boston Bruins', 'Detroit Red Wings']"
Ken Hitchcock,0.506,0.558,0.456,0.572,503,849,23,1,"['Dallas Stars', 'Dallas Stars', 'Philadelphia Flyers', 'St. Louis Blues', 'Edmonton Oilers', 'Columbus Blue Jackets']"
Randy Carlyle,0.506,0.587,0.425,0.569,188,475,14,1,"['Toronto Maple Leafs', 'Anaheim Ducks', 'Anaheim Ducks']"
Fred Shero,0.506,0.615,0.397,0.582,180,390,10,2,"['New York Rangers', 'Philadelphia Flyers']"
Dale Hunter,0.5,0.6,0.4,0.558,60,30,1,0,['Washington Capitals']
Adam Oates,0.5,0.554,0.446,0.565,130,65,2,0,['Washington Capitals']
Jules Dugal,0.5,0.556,0.444,0.583,18,9,1,0,['Montréal Canadiens']
Billy Inglis,0.5,0.5,0.5,0.589,56,28,1,0,['Buffalo Sabres']
Frank Patrick,0.5,0.667,0.333,0.562,96,48,2,0,['Boston Bruins']
Marcel Pronovost,0.5,0.577,0.423,0.611,104,52,2,0,['Buffalo Sabres']
Mike Babcock,0.499,0.547,0.45,0.576,351,700,17,1,"['Toronto Maple Leafs', 'Detroit Red Wings', 'Anaheim Ducks']"
Todd McLellan,0.498,0.545,0.452,0.554,241,544,15,0,"['Los Angeles Kings', 'Edmonton Oilers', 'San Jose Sharks']"
Fred Creighton,0.498,0.589,0.407,0.583,73,196,6,0,"['Boston Bruins', 'Atlanta Flames']"
Jimmy Skinner,0.498,0.61,0.387,0.591,247,123,4,1,['Detroit Red Wings']
Bob Johnson,0.497,0.597,0.398,0.549,80,234,6,1,"['Pittsburgh Penguins', 'Calgary Flames']"
Glen Gulutzan,0.496,0.504,0.488,0.535,130,146,4,0,"['Dallas Stars', 'Calgary Flames']"
Pat Burns,0.493,0.555,0.432,0.576,320,501,14,1,"['Montréal Canadiens', 'Toronto Maple Leafs', 'Boston Bruins', 'New Jersey Devils']"
Doug Risebrough,0.493,0.623,0.373,0.552,144,71,2,0,['Calgary Flames']
Red Berenson,0.492,0.63,0.353,0.57,199,98,3,0,['St. Louis Blues']
John Stevens,0.491,0.336,0.478,0.528,4,171,7,0,"['Los Angeles Kings', 'Los Angeles Kings', 'Philadelphia Flyers']"
Terry Murray,0.49,0.532,0.447,0.558,275,499,15,0,"['Los Angeles Kings', 'Philadelphia Flyers', 'Washington Capitals', 'Florida Panthers']"
Davis Payne,0.489,0.594,0.397,0.544,137,67,3,0,['St. Louis Blues']
Bill Peters,0.489,0.549,0.431,0.554,109,198,6,0,"['Calgary Flames', 'Carolina Hurricanes']"
Ivan Hlinka,0.488,0.545,0.429,0.558,86,42,2,0,['Pittsburgh Penguins']
Bob Hartley,0.487,0.528,0.445,0.549,294,463,14,1,"['Calgary Flames', 'Colorado Avalanche', 'Atlanta Thrashers']"
Murray Oliver,0.486,0.579,0.389,0.581,37,18,1,0,['Minnesota North Stars']
Dave Gill,0.485,0.545,0.424,0.587,132,64,3,1,['Ottawa Senators (1917)']
Kevin Constantine,0.484,0.499,0.467,0.559,189,161,7,0,"['Pittsburgh Penguins', 'New Jersey Devils', 'San Jose Sharks']"
Michel Therrien,0.484,0.526,0.442,0.553,190,406,12,0,"['Montréal Canadiens', 'Montréal Canadiens', 'Pittsburgh Penguins']"
Doug Weight,0.484,0.508,0.46,0.541,122,59,2,0,['New York Islanders']
Terry Crisp,0.482,0.549,0.414,0.545,240,286,9,1,"['Calgary Flames', 'Tampa Bay Lightning']"
Dave Lowry,0.481,0.538,0.429,0.537,54,26,1,0,['Winnipeg Jets']
Cory Clouston,0.48,0.53,0.429,0.53,198,95,3,0,['Ottawa Senators']
John Hynes,0.48,0.524,0.435,0.53,354,254,9,0,"['New Jersey Devils', 'Nashville Predators']"
Todd Richards,0.479,0.52,0.438,0.524,260,204,7,0,"['Columbus Blue Jackets', 'Minnesota Wild']"
Bill Tobin,0.478,0.545,0.417,0.522,23,11,1,0,['Chicago Blackhawks']
Paul MacLean,0.477,0.5,0.455,0.55,239,114,4,0,['Ottawa Senators']
Tom Shaughnessy,0.476,0.545,0.4,0.548,21,10,1,0,['Chicago Blackhawks']
Hap Day,0.474,0.582,0.366,0.548,546,259,10,5,['Toronto Maple Leafs']
Gene Ubriaco,0.472,0.574,0.365,0.514,106,50,2,0,['Pittsburgh Penguins']
Mike Keenan,0.47,0.521,0.419,0.541,74,672,20,1,"['Boston Bruins', 'New York Rangers', 'Chicago Blackhawks', 'Philadelphia Flyers', 'St. Louis Blues', 'Vancouver Canucks', 'Calgary Flames', 'Florida Panthers']"
John Paddock,0.47,0.504,0.436,0.526,281,142,5,0,"['Winnipeg Jets (1979)', 'Ottawa Senators']"
