Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Punch Imlach,0.48,0.595,0.366,0.562,760,365,11,4,['Toronto Maple Leafs']
Tom Webster,0.479,0.558,0.4,0.544,240,115,3,0,['Los Angeles Kings']
Pat Burns,0.477,0.549,0.405,0.557,320,412,12,0,"['Montréal Canadiens', 'Toronto Maple Leafs', 'Boston Bruins']"
Paul MacLean,0.477,0.5,0.455,0.55,239,114,4,0,['Ottawa Senators']
Peter DeBoer,0.476,0.508,0.444,0.543,248,415,12,0,"['New Jersey Devils', 'San Jose Sharks', 'Florida Panthers']"
Hap Day,0.474,0.582,0.366,0.548,546,259,10,5,['Toronto Maple Leafs']
Jacques Martin,0.47,0.53,0.41,0.548,692,451,12,0,"['Ottawa Senators', 'Florida Panthers']"
Jack Capuano,0.47,0.47,0.47,0.536,483,227,7,0,['New York Islanders']
Al Arbour,0.469,0.544,0.393,0.539,1038,739,19,4,"['New York Islanders', 'New York Islanders']"
John Muckler,0.466,0.582,0.351,0.53,268,125,4,0,['Buffalo Sabres']
Paul Maurice,0.465,0.524,0.405,0.531,674,699,22,0,"['Carolina Hurricanes', 'Carolina Hurricanes', 'Winnipeg Jets']"
Lester Patrick,0.465,0.497,0.434,0.554,604,281,13,2,['New York Rangers']
Orval Tessier,0.465,0.623,0.308,0.514,213,99,3,0,['Chicago Blackhawks']
Ted Sator,0.464,0.547,0.376,0.517,207,96,3,0,['Buffalo Sabres']
Joe Primeau,0.462,0.533,0.391,0.562,210,97,3,1,['Toronto Maple Leafs']
David Quinn,0.462,0.476,0.447,0.522,208,96,3,0,['New York Rangers']
Herb Brooks,0.46,0.538,0.379,0.532,285,131,4,0,['New York Rangers']
Harry Sinden,0.46,0.595,0.324,0.552,296,136,4,1,['Boston Bruins']
Craig MacTavish,0.459,0.512,0.406,0.537,656,301,8,0,['Edmonton Oilers']
Ron Wilson,0.457,0.503,0.411,0.525,310,648,18,0,"['Toronto Maple Leafs', 'Washington Capitals', 'San Jose Sharks', 'Anaheim Ducks']"
Michel Bergeron,0.457,0.557,0.354,0.528,554,253,7,0,['Quebec Nordiques']
John Stevens,0.456,0.467,0.445,0.521,263,120,4,0,['Philadelphia Flyers']
Jim Schoenfeld,0.454,0.5,0.406,0.522,249,113,4,0,['Washington Capitals']
Andy Murray,0.453,0.49,0.415,0.536,480,333,10,0,"['Los Angeles Kings', 'St. Louis Blues']"
Jacques Demers,0.452,0.567,0.337,0.516,220,350,11,1,"['Montréal Canadiens', 'Detroit Red Wings', 'St. Louis Blues']"
Bob Pulford,0.45,0.54,0.359,0.535,396,178,5,0,['Los Angeles Kings']
Fred Creighton,0.448,0.54,0.355,0.529,348,156,5,0,['Atlanta Flames']
Bob Berry,0.444,0.514,0.374,0.516,223,311,9,0,"['Montréal Canadiens', 'Los Angeles Kings', 'Pittsburgh Penguins']"
Dit Clapper,0.444,0.556,0.33,0.53,230,102,4,0,['Boston Bruins']
Willie Desjardins,0.443,0.463,0.423,0.498,246,109,3,0,['Vancouver Canucks']
Joe Sacco,0.442,0.503,0.381,0.493,294,130,4,0,['Colorado Avalanche']
Eddie Johnston,0.442,0.573,0.312,0.501,240,232,7,0,"['Pittsburgh Penguins', 'Pittsburgh Penguins']"
Glen Sonmor,0.44,0.554,0.328,0.543,352,155,5,0,['Minnesota North Stars']
Brian Sutter,0.439,0.516,0.363,0.517,216,451,13,0,"['Boston Bruins', 'Chicago Blackhawks', 'St. Louis Blues', 'Calgary Flames']"
Colin Campbell,0.439,0.474,0.403,0.519,269,118,4,0,['New York Rangers']
Wayne Gretzky,0.436,0.469,0.402,0.473,328,143,4,0,['Phoenix Coyotes']
Rick Tocchet,0.431,0.455,0.408,0.49,290,125,4,0,['Arizona Coyotes']
Al MacNeil,0.429,0.525,0.333,0.521,240,103,3,0,['Calgary Flames']
Dan Maloney,0.429,0.523,0.333,0.495,212,91,3,0,['Winnipeg Jets (1979)']
Jack Adams,0.428,0.558,0.299,0.512,964,413,20,3,['Detroit Red Wings']
Pierre Page,0.426,0.5,0.353,0.489,230,98,3,0,['Quebec Nordiques']
John Hynes,0.424,0.461,0.386,0.487,354,150,5,0,['New Jersey Devils']
Barry Long,0.424,0.48,0.369,0.485,205,87,3,0,['Winnipeg Jets (1979)']
Travis Green,0.424,0.474,0.373,0.478,314,133,5,0,['Vancouver Canucks']
Jeremy Colliton,0.424,0.451,0.398,0.488,205,87,4,0,['Chicago Blackhawks']
Bob Francis,0.423,0.5,0.347,0.527,390,165,5,0,['Phoenix Coyotes']
Craig Hartsburg,0.423,0.423,0.423,0.504,246,104,3,0,['Chicago Blackhawks']
Rudy Pilous,0.419,0.508,0.33,0.514,387,162,6,1,['Chicago Blackhawks']
Bill Peters,0.418,0.482,0.354,0.498,328,137,4,0,['Carolina Hurricanes']
Guy Boucher,0.412,0.452,0.372,0.469,228,94,3,0,['Ottawa Senators']
Sid Abel,0.41,0.539,0.28,0.489,737,302,11,0,['Detroit Red Wings']
Dave King,0.409,0.505,0.312,0.487,216,173,6,0,"['Calgary Flames', 'Columbus Blue Jackets']"
Phil Maloney,0.409,0.496,0.325,0.478,232,95,4,0,['Vancouver Canucks']
Ron Low,0.408,0.441,0.374,0.466,341,139,5,0,['Edmonton Oilers']
John McLellan,0.406,0.535,0.277,0.479,310,126,4,0,['Toronto Maple Leafs']
Paul Holmgren,0.405,0.47,0.341,0.464,264,107,4,0,['Philadelphia Flyers']
Phil Watson,0.403,0.442,0.365,0.491,295,119,5,0,['New York Rangers']
Jack Gordon,0.401,0.535,0.269,0.488,289,116,5,0,['Minnesota North Stars']
Bob Gainey,0.398,0.467,0.327,0.47,415,165,6,0,['Dallas Stars']
D.J. Smith,0.395,0.451,0.336,0.45,238,94,4,0,['Ottawa Senators']
King Clancy,0.381,0.524,0.238,0.498,210,80,3,0,['Toronto Maple Leafs']
Jeff Blashill,0.38,0.422,0.337,0.447,537,204,7,0,['Detroit Red Wings']
Johnny Wilson,0.379,0.492,0.267,0.471,240,91,3,0,['Pittsburgh Penguins']
Barry Melrose,0.378,0.433,0.324,0.447,209,79,3,0,['Los Angeles Kings']
John Paddock,0.377,0.45,0.305,0.443,281,106,4,0,['Winnipeg Jets (1979)']
Lynn Patrick,0.377,0.484,0.271,0.479,310,117,5,0,['Boston Bruins']
Red Kelly,0.373,0.494,0.254,0.47,318,223,8,0,"['Toronto Maple Leafs', 'Pittsburgh Penguins']"
Larry Robinson,0.372,0.451,0.293,0.441,328,122,4,0,['Los Angeles Kings']
Jack Evans,0.372,0.437,0.307,0.435,240,237,8,0,"['Cleveland Barons', 'Hartford Whalers']"
Bernie Geoffrion,0.37,0.471,0.274,0.464,208,77,3,0,['Atlanta Flames']
Paul Thompson,0.361,0.497,0.224,0.436,313,113,7,0,['Chicago Blackhawks']
Dallas Eakins,0.354,0.376,0.333,0.427,240,85,4,0,['Anaheim Ducks']
Bob McCammon,0.347,0.395,0.299,0.408,294,102,4,0,['Vancouver Canucks']
