Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Jack Adams,Detroit Cougars,0.428,0.558,0.299,0.512,413,20,3
Bruce Cassidy,Washington Capitals,0.427,0.529,0.339,0.5,47,2,0
Dave Lewis,Boston Bruins,0.427,0.439,0.415,0.463,35,1,0
Mike Sullivan,Boston Bruins,0.427,0.415,0.439,0.543,70,2,0
John Anderson,Atlanta Thrashers,0.427,0.451,0.402,0.485,70,2,0
Eddie Gerard,Montreal Maroons,0.427,0.521,0.333,0.516,41,2,0
Pierre Page,Quebec Nordiques,0.426,0.5,0.353,0.489,98,3,0
Tommy Gorman,Montreal Maroons,0.425,0.477,0.375,0.509,74,4,1
Eddie Johnston,Chicago Blackhawks,0.425,0.525,0.325,0.544,34,1,0
John Hynes,New Jersey Devils,0.424,0.461,0.386,0.487,150,5,0
Barry Long,Winnipeg Jets (1979),0.424,0.48,0.369,0.485,87,3,0
Clem Loughlin,Chicago Blackhawks,0.424,0.486,0.361,0.493,61,3,0
Art Ross,Boston Bruins,0.424,0.606,0.242,0.485,84,4,0
Travis Green,Vancouver Canucks,0.424,0.474,0.373,0.478,133,5,0
Jeremy Colliton,Chicago Blackhawks,0.424,0.451,0.398,0.488,87,4,0
Bob Francis,Phoenix Coyotes,0.423,0.5,0.347,0.527,165,5,0
Craig Hartsburg,Chicago Blackhawks,0.423,0.423,0.423,0.504,104,3,0
Mike Babcock,Anaheim Ducks,0.421,0.5,0.342,0.521,69,2,0
Ron Low,New York Rangers,0.421,0.439,0.402,0.463,69,2,0
Ken Hitchcock,Edmonton Oilers,0.419,0.438,0.4,0.484,26,1,0
Ron Wilson,Toronto Maple Leafs,0.419,0.436,0.403,0.492,130,4,0
Peter DeBoer,Florida Panthers,0.419,0.439,0.398,0.492,103,3,0
Rudy Pilous,Chicago Blackhawks,0.419,0.508,0.33,0.514,162,6,1
Bill Peters,Carolina Hurricanes,0.418,0.482,0.354,0.498,137,4,0
Red Kelly,Toronto Maple Leafs,0.418,0.509,0.327,0.516,133,4,0
Garry Young,St. Louis Blues,0.418,0.56,0.271,0.5,41,2,0
John Torchetti,Los Angeles Kings,0.417,0.667,0.167,0.417,5,1,0
Claude Noel,Columbus Blue Jackets,0.417,0.533,0.222,0.542,10,1,0
Frank Heffernan,Toronto St. Patricks,0.417,0.833,,0.417,5,1,0
Andre Savard,Quebec Nordiques,0.417,0.417,0.417,0.438,10,1,0
Terry Simpson,Philadelphia Flyers,0.417,0.452,0.381,0.476,35,1,0
Craig Ramsay,Atlanta Thrashers,0.415,0.415,0.415,0.488,34,1,0
Dan Bylsma,Buffalo Sabres,0.415,0.439,0.39,0.485,68,2,0
Ted Sator,New York Rangers,0.414,0.469,0.36,0.465,41,2,0
Pat Burns,Boston Bruins,0.413,0.432,0.395,0.516,105,4,0
Jacques Martin,St. Louis Blues,0.412,0.487,0.338,0.484,66,2,0
Guy Boucher,Ottawa Senators,0.412,0.452,0.372,0.469,94,3,0
Alain Vigneault,Montréal Canadiens,0.41,0.436,0.384,0.483,109,4,0
Sid Abel,Detroit Red Wings,0.41,0.539,0.28,0.489,302,11,0
Eddie Gerard,Ottawa Senators (1917),0.409,0.545,0.273,0.409,9,1,0
Phil Maloney,Vancouver Canucks,0.409,0.496,0.325,0.478,95,4,0
Ron Low,Edmonton Oilers,0.408,0.441,0.374,0.466,139,5,0
Craig Patrick,Pittsburgh Penguins,0.407,0.577,0.25,0.463,22,1,0
Craig Hartsburg,Anaheim Ducks,0.406,0.469,0.346,0.495,80,3,0
Rick Wilson,Dallas Stars,0.406,0.562,0.25,0.531,13,1,0
Al Arbour,New York Islanders,0.406,0.459,0.352,0.464,187,6,0
John McLellan,Toronto Maple Leafs,0.406,0.535,0.277,0.479,126,4,0
Michel Therrien,Montréal Canadiens,0.405,0.447,0.365,0.5,77,3,0
Ron Wilson,Anaheim Ducks,0.405,0.473,0.338,0.458,120,4,0
Paul Holmgren,Philadelphia Flyers,0.405,0.47,0.341,0.464,107,4,0
Jim Schoenfeld,New Jersey Devils,0.403,0.452,0.355,0.464,50,3,0
Phil Watson,New York Rangers,0.403,0.442,0.365,0.491,119,5,0
Pierre Page,Calgary Flames,0.402,0.476,0.329,0.463,66,2,0
Roger Neilson,Florida Panthers,0.402,0.364,0.439,0.489,53,2,0
Steve Kasper,Boston Bruins,0.402,0.439,0.366,0.463,66,2,0
Newsy Lalonde,Montréal Canadiens,0.402,0.579,0.218,0.464,45,3,0
Jack Gordon,Minnesota North Stars,0.401,0.535,0.269,0.488,116,5,0
Joe Crozier,Buffalo Sabres,0.401,0.604,0.198,0.492,77,3,0
Don Waddell,Atlanta Thrashers,0.4,,0.667,0.45,4,1,0
Lindy Ruff,New Jersey Devils,0.4,0.395,0.405,0.45,64,3,0
Emile Francis,St. Louis Blues,0.4,0.55,0.25,0.456,32,1,0
Lynn Patrick,St. Louis Blues,0.4,0.75,0.167,0.45,4,2,0
Tom Rowe,Florida Panthers,0.4,0.4,0.4,0.483,24,1,0
Cecil Hart,Montreal Maroons,0.4,0.4,0.4,0.45,8,1,0
Bob Gainey,Minnesota North Stars,0.398,0.467,0.327,0.47,165,6,0
Paul Maurice,Hartford Whalers,0.398,0.457,0.339,0.483,268,9,0
Tom Watt,Winnipeg Jets (1979),0.398,0.467,0.33,0.464,72,3,0
Ralph Krueger,Edmonton Oilers,0.396,0.375,0.417,0.469,19,1,0
Sprague Cleghorn,Montreal Maroons,0.396,0.667,0.125,0.469,19,1,0
Terry Murray,Florida Panthers,0.395,0.455,0.337,0.5,79,3,0
Leo Boivin,St. Louis Blues,0.395,0.5,0.286,0.5,17,1,0
Gerard Gallant,Columbus Blue Jackets,0.394,0.515,0.284,0.43,56,3,0
Pierre Page,Minnesota North Stars,0.394,0.537,0.25,0.456,63,2,0
Peter Horachek,Florida Panthers,0.394,0.438,0.353,0.424,26,1,0
Bob Murdoch,Winnipeg Jets (1979),0.394,0.487,0.3,0.463,63,2,0
Al Arbour,St. Louis Blues,0.393,0.482,0.294,0.509,42,3,0
Willie Desjardins,Los Angeles Kings,0.391,0.412,0.371,0.449,27,1,0
Harry Neale,Vancouver Canucks,0.391,0.417,0.364,0.451,36,2,0
Kevin Lowe,Edmonton Oilers,0.39,0.439,0.342,0.537,32,1,0
Tony Granato,Colorado Avalanche,0.39,0.439,0.342,0.421,32,1,0
Bryan Trottier,New York Rangers,0.389,0.393,0.385,0.454,21,1,0
Marc Crawford,Ottawa Senators,0.389,0.5,0.3,0.417,7,1,0
Ron Stewart,Los Angeles Kings,0.388,0.45,0.325,0.481,31,1,0
Tom Renney,Vancouver Canucks,0.386,0.44,0.333,0.431,39,2,0
Newsy Lalonde,New York Americans,0.386,0.455,0.318,0.409,17,1,0
Derek King,Chicago Blackhawks,0.386,0.371,0.4,0.457,27,1,0
Ron Stewart,New York Rangers,0.385,0.429,0.333,0.436,15,1,0
Roger Neilson,Vancouver Canucks,0.384,0.522,0.242,0.462,51,3,0
Kevin Dineen,Florida Panthers,0.384,0.419,0.347,0.479,56,3,0
Tommy Gorman,Chicago Blackhawks,0.384,0.528,0.243,0.5,28,2,1
D.J. Smith,Ottawa Senators,0.384,0.444,0.321,0.439,88,4,0
Lorne Molleken,Chicago Blackhawks,0.383,0.458,0.304,0.489,18,2,0
Bob Boughner,San Jose Sharks,0.383,0.416,0.349,0.449,67,3,0
Don Granato,Buffalo Sabres,0.382,0.418,0.344,0.435,50,3,0
Dave Hakstol,Seattle Kraken,0.382,0.415,0.347,0.426,39,2,0
Bob Pulford,Chicago Blackhawks,0.381,0.475,0.287,0.487,61,2,0
King Clancy,Toronto Maple Leafs,0.381,0.524,0.238,0.498,80,3,0
Cecil Hart,Montréal Canadiens,0.381,0.508,0.254,0.48,48,3,0
Jeff Blashill,Detroit Red Wings,0.38,0.422,0.337,0.447,204,7,0
Rick Ley,Vancouver Canucks,0.379,0.371,0.387,0.488,47,2,0
Johnny Wilson,Pittsburgh Penguins,0.379,0.492,0.267,0.471,91,3,0
John Muckler,New York Rangers,0.378,0.391,0.366,0.451,70,3,0
Barry Melrose,Los Angeles Kings,0.378,0.433,0.324,0.447,79,3,0
John Paddock,Winnipeg Jets (1979),0.377,0.45,0.305,0.443,106,4,0
Lynn Patrick,Boston Bruins,0.377,0.484,0.271,0.479,117,5,0
Bob Gainey,Montréal Canadiens,0.375,0.364,0.4,0.5,6,1,0
Guy Charron,Calgary Flames,0.375,0.455,0.2,0.469,6,1,0
Bob Murdoch,Chicago Blackhawks,0.375,0.525,0.225,0.431,30,1,0
Jean-Guy Talbot,New York Rangers,0.375,0.45,0.3,0.456,30,1,0
Rick Bowness,New York Islanders,0.374,0.42,0.327,0.434,37,2,0
Keith Magnuson,Chicago Blackhawks,0.374,0.507,0.235,0.468,52,2,0
Lynn Patrick,New York Rangers,0.374,0.5,0.245,0.449,40,2,0
Milt Schmidt,Boston Bruins,0.374,0.496,0.252,0.466,172,7,0
Larry Robinson,Los Angeles Kings,0.372,0.451,0.293,0.441,122,4,0
Ron Rolston,Buffalo Sabres,0.372,0.36,0.385,0.431,19,2,0
Pat Quinn,Los Angeles Kings,0.371,0.41,0.333,0.436,75,3,0
Ralph Krueger,Buffalo Sabres,0.371,0.449,0.292,0.433,36,2,0
Doug Harvey,New York Rangers,0.371,0.457,0.286,0.457,26,1,0
Ron Lapointe,Quebec Nordiques,0.371,0.364,0.378,0.405,33,2,0
Brian Sutter,Chicago Blackhawks,0.37,0.471,0.268,0.476,91,3,0
John Torchetti,Florida Panthers,0.37,0.429,0.308,0.463,10,1,0
Todd Nelson,Edmonton Oilers,0.37,0.455,0.292,0.446,17,1,0
Bernie Geoffrion,Atlanta Flames,0.37,0.471,0.274,0.464,77,3,0
Eddie Gerard,New York Americans,0.37,0.457,0.283,0.467,34,2,0
Odie Cleghorn,Pittsburgh Pirates,0.369,0.429,0.309,0.429,62,4,0
Glen Sather,New York Rangers,0.367,0.383,0.349,0.467,33,2,0
Glen Sather,Edmonton Oilers,0.367,0.484,0.241,0.458,22,1,0
Bob Berry,Pittsburgh Penguins,0.367,0.467,0.267,0.419,88,3,0
Red Kelly,Los Angeles Kings,0.367,0.52,0.213,0.433,55,2,0
Mike Murphy,Toronto Maple Leafs,0.366,0.415,0.317,0.418,60,2,0
Scott Arniel,Columbus Blue Jackets,0.366,0.377,0.355,0.439,45,2,0
Emil Iverson,Chicago Blackhawks,0.366,0.528,0.2,0.486,26,2,0
Al MacNeil,Calgary Flames,0.364,,0.571,0.455,4,1,0
Bob Plager,St. Louis Blues,0.364,0.375,0.333,0.409,4,1,0
Terry Crisp,Tampa Bay Lightning,0.363,0.381,0.345,0.421,142,6,0
Johnny Gottselig,Chicago Blackhawks,0.363,0.425,0.301,0.411,53,4,0
George Armstrong,Toronto Maple Leafs,0.362,0.435,0.292,0.404,17,1,0
Dallas Eakins,Anaheim Ducks,0.361,0.377,0.345,0.433,83,4,0
Paul Thompson,Chicago Blackhawks,0.361,0.497,0.224,0.436,113,7,0
Marc Crawford,Los Angeles Kings,0.36,0.402,0.317,0.424,59,2,0
Randy Cunneyworth,Montréal Canadiens,0.36,0.458,0.269,0.45,18,1,0
Rick Tocchet,Tampa Bay Lightning,0.358,0.419,0.297,0.446,53,2,0
John Ferguson Sr.,New York Rangers,0.355,0.407,0.306,0.434,43,2,0
Alpo Suhonen,Chicago Blackhawks,0.354,0.342,0.366,0.433,29,1,0
Brian Sutter,Calgary Flames,0.354,0.431,0.276,0.439,87,3,0
Bryan Murray,Anaheim Ducks,0.354,0.366,0.342,0.421,29,1,0
Craig Hartsburg,Ottawa Senators,0.354,0.478,0.24,0.427,17,1,0
Scott Gordon,New York Islanders,0.354,0.483,0.234,0.417,64,3,0
Phil Housley,Buffalo Sabres,0.354,0.39,0.317,0.421,58,2,0
Newsy Lalonde,Ottawa Senators (1917),0.352,0.432,0.273,0.42,31,2,0
Kevin Constantine,San Jose Sharks,0.35,0.392,0.308,0.427,55,3,0
Frank Boucher,New York Rangers,0.35,0.5,0.167,0.425,14,1,0
Craig Patrick,Pittsburgh Penguins,0.35,0.636,,0.425,7,1,0
Tom Watt,Toronto Maple Leafs,0.349,0.467,0.23,0.406,52,2,0
Tom Renney,Edmonton Oilers,0.348,0.378,0.317,0.415,57,2,0
Bill White,Chicago Blackhawks,0.348,0.52,0.143,0.413,16,1,0
Greg Gilbert,Calgary Flames,0.347,0.4,0.295,0.442,42,3,0
Bob McCammon,Vancouver Canucks,0.347,0.395,0.299,0.408,102,4,0
Charlie Conacher,Chicago Blackhawks,0.346,0.4,0.293,0.414,56,3,0
Ted Green,Edmonton Oilers,0.346,0.43,0.263,0.402,65,3,0
Doug Carpenter,New Jersey Devils,0.345,0.441,0.248,0.386,100,4,0
Rick Kehoe,Pittsburgh Penguins,0.344,0.392,0.296,0.419,55,2,0
Red Dutton,New York Americans,0.344,0.438,0.25,0.419,66,4,0
Frank Boucher,New York Rangers,0.343,0.403,0.283,0.422,167,10,1
George Burnett,Edmonton Oilers,0.343,0.5,0.176,0.386,12,1,0
Pierre McGuire,Hartford Whalers,0.343,0.364,0.324,0.396,23,1,0
Bobby Kromm,Detroit Red Wings,0.342,0.431,0.252,0.431,79,3,0
Ron Smith,New York Rangers,0.341,0.364,0.318,0.42,15,1,0
Keith Allen,Philadelphia Flyers,0.34,0.413,0.267,0.447,51,2,0
Jean Perron,Quebec Nordiques,0.34,0.417,0.261,0.394,16,1,0
Don Hay,Calgary Flames,0.338,0.294,0.382,0.463,23,1,0
Harry Neale,Vancouver Canucks,0.337,0.404,0.27,0.44,106,4,0
Ken Schinkel,Pittsburgh Penguins,0.337,0.422,0.244,0.384,29,2,0
Alex Delvecchio,Detroit Red Wings,0.335,0.464,0.2,0.4,82,4,0
Paul Holmgren,Hartford Whalers,0.335,0.354,0.317,0.379,54,4,0
Mike Keenan,Vancouver Canucks,0.333,0.407,0.259,0.417,36,2,0
Mike O'Connell,Boston Bruins,0.333,0.5,0.2,0.5,3,1,0
King Clancy,Montreal Maroons,0.333,0.5,0.125,0.361,6,1,0
Tommy Gorman,New York Americans,0.333,0.222,0.444,0.389,12,1,0
Jim Roberts,St. Louis Blues,0.333,0.4,0.25,0.5,3,1,0
Rosie Helmer,New York Americans,0.333,0.417,0.25,0.406,16,1,0
John Brophy,Toronto Maple Leafs,0.332,0.423,0.24,0.378,64,3,0
Pat Quinn,Edmonton Oilers,0.329,0.439,0.22,0.378,27,1,0
Eddie Johnston,Pittsburgh Penguins,0.329,0.467,0.192,0.402,79,3,0
Red Kelly,Pittsburgh Penguins,0.329,0.478,0.181,0.423,90,4,0
Nick Polano,Detroit Red Wings,0.329,0.425,0.233,0.4,79,3,0
Al Sims,San Jose Sharks,0.329,0.342,0.317,0.378,27,1,0
Parker MacDonald,Minnesota North Stars,0.328,0.517,0.156,0.418,20,1,0
Glen Sonmor,Minnesota North Stars,0.328,0.375,0.286,0.403,22,1,0
Glen Hanlon,Washington Capitals,0.326,0.369,0.282,0.406,78,4,0
Rick Dudley,Florida Panthers,0.325,0.4,0.25,0.475,13,1,0
Jim Roberts,Hartford Whalers,0.325,0.325,0.325,0.406,26,1,0
Tom Watt,Vancouver Canucks,0.325,0.425,0.225,0.391,52,2,0
Joe Crozier,Toronto Maple Leafs,0.325,0.3,0.35,0.388,13,1,0
Wren Blair,Minnesota North Stars,0.324,0.411,0.24,0.439,48,3,0
Muzz Patrick,New York Rangers,0.324,0.353,0.294,0.382,11,1,0
Trent Yawney,Chicago Blackhawks,0.32,0.4,0.245,0.393,33,2,0
Muzz Patrick,New York Rangers,0.32,0.354,0.288,0.43,32,2,0
Dallas Eakins,Edmonton Oilers,0.319,0.362,0.273,0.381,36,2,0
Gary Green,Washington Capitals,0.319,0.443,0.192,0.411,50,3,0
Bill Stewart,Chicago Blackhawks,0.319,0.4,0.235,0.406,22,2,1
Lionel Conacher,New York Americans,0.318,0.5,0.136,0.375,14,1,0
Emile Francis,St. Louis Blues,0.318,0.35,0.292,0.375,14,2,0
Mike Nykoluk,Toronto Maple Leafs,0.318,0.407,0.229,0.402,89,4,0
John Tortorella,Philadelphia Flyers,0.318,0.4,0.25,0.432,7,1,0
Pierre Page,Anaheim Ducks,0.317,0.293,0.342,0.396,26,1,0
André Tourigny,Arizona Coyotes,0.317,0.267,0.357,0.366,32,2,0
Ned Harkness,Detroit Red Wings,0.316,0.474,0.158,0.368,12,1,0
Dave King,Columbus Blue Jackets,0.314,0.427,0.198,0.397,64,3,0
George Boucher,Boston Bruins,0.314,0.429,0.2,0.429,22,1,0
Craig Patrick,New York Rangers,0.314,0.533,0.15,0.343,11,1,0
Red Sullivan,Pittsburgh Penguins,0.313,0.36,0.267,0.393,47,2,0
Jacques Demers,Quebec Nordiques,0.312,0.425,0.2,0.381,25,1,0
Lorne Henning,New York Islanders,0.312,0.417,0.208,0.365,15,1,0
Barry Melrose,Tampa Bay Lightning,0.312,0.25,0.375,0.438,5,1,0
Barclay Plager,St. Louis Blues,0.312,0.4,0.217,0.438,15,1,0
Parker MacDonald,Los Angeles Kings,0.309,0.5,0.136,0.369,13,1,0
Don Perry,Los Angeles Kings,0.309,0.423,0.193,0.402,52,3,0
Mike Murphy,Los Angeles Kings,0.308,0.353,0.258,0.369,20,2,0
Jack Evans,California Golden Seals,0.308,0.367,0.25,0.385,74,3,0
Larry Regan,Los Angeles Kings,0.307,0.386,0.227,0.386,27,2,0
Duane Sutter,Florida Panthers,0.306,0.351,0.257,0.41,22,2,0
Doug MacLean,Columbus Blue Jackets,0.304,0.405,0.189,0.38,24,2,0
David Quinn,San Jose Sharks,0.304,0.154,0.5,0.37,7,1,0
Art Duncan,Detroit Cougars,0.303,0.312,0.294,0.333,10,1,0
Sid Abel,St. Louis Blues,0.3,0.286,0.333,0.35,3,1,0
Don Blackburn,Hartford Whalers,0.3,0.464,0.141,0.425,42,2,0
Howie Meeker,Toronto Maple Leafs,0.3,0.343,0.257,0.407,21,1,0
Ken Randall,Hamilton Tigers,0.3,0.333,0.25,0.3,3,1,0
Luke Richardson,Chicago Blackhawks,0.3,0.364,0.222,0.4,6,1,0
Jim Wiley,San Jose Sharks,0.298,0.357,0.241,0.325,17,1,0
Bill Stewart,New York Islanders,0.297,0.2,0.412,0.392,11,1,0
Mike Milbury,New York Islanders,0.297,0.383,0.214,0.359,57,4,0
Red Sullivan,New York Rangers,0.296,0.303,0.289,0.385,58,4,0
Mike Keenan,Florida Panthers,0.294,0.237,0.351,0.408,45,3,0
Alf Pike,New York Rangers,0.293,0.377,0.21,0.378,36,2,0
Danny Belisle,Washington Capitals,0.292,0.362,0.225,0.38,28,2,0
Joe Simpson,New York Americans,0.292,0.375,0.208,0.396,42,3,0
Vic Stasiuk,Philadelphia Flyers,0.292,0.403,0.182,0.425,45,2,0
Bill Cook,New York Rangers,0.291,0.383,0.193,0.393,34,2,0
Mike Kitchen,St. Louis Blues,0.29,0.318,0.262,0.378,38,3,0
Billy Reay,Toronto Maple Leafs,0.289,0.356,0.222,0.367,26,2,0
Bryan Murray,Florida Panthers,0.288,0.321,0.258,0.381,17,1,0
Orland Kurtenbach,Vancouver Canucks,0.288,0.344,0.23,0.396,36,2,0
Guy Charron,Anaheim Ducks,0.286,0.37,0.182,0.378,14,1,0
Rick Bowness,Winnipeg Jets (1979),0.286,0.462,0.133,0.339,8,1,0
Roger Neilson,Los Angeles Kings,0.286,0.4,0.154,0.339,8,1,0
Charlie Burns,Minnesota North Stars,0.286,0.304,0.263,0.309,12,1,0
Mike Yeo,Philadelphia Flyers,0.283,0.333,0.233,0.342,17,1,0
Hal Laycoe,Vancouver Canucks,0.282,0.397,0.167,0.333,44,2,0
Vic Stasiuk,Vancouver Canucks,0.282,0.436,0.128,0.34,22,1,0
Dan Maloney,Toronto Maple Leafs,0.281,0.325,0.237,0.328,45,2,0
Neil Colville,New York Rangers,0.28,0.4,0.167,0.419,26,2,0
Vic Stasiuk,California Golden Seals,0.28,0.389,0.179,0.387,21,1,0
Butch Goring,New York Islanders,0.279,0.276,0.282,0.34,41,2,0
Sid Abel,Chicago Blackhawks,0.279,0.314,0.243,0.357,39,2,0
Ted Nolan,Buffalo Sabres,0.278,0.361,0.194,0.337,40,2,0
Tom Webster,New York Rangers,0.278,0.375,0.2,0.389,5,1,0
Dominique Ducharme,Montréal Canadiens,0.277,0.375,0.186,0.361,23,2,0
Charles Querrie,Toronto St. Patricks,0.276,0.429,0.133,0.345,8,1,0
Bill MacMillan,Colorado Rockies,0.275,0.375,0.175,0.356,22,1,0
Eddie Olczyk,Pittsburgh Penguins,0.274,0.304,0.246,0.354,31,2,0
Milt Schmidt,Boston Bruins,0.274,0.351,0.2,0.342,73,4,0
John MacLean,New Jersey Devils,0.273,0.333,0.222,0.303,9,1,0
Billy Dea,Detroit Red Wings,0.273,0.286,0.25,0.273,3,1,0
Harry Howell,Minnesota North Stars,0.273,0.5,,0.364,3,1,0
Dirk Graham,Chicago Blackhawks,0.271,0.357,0.194,0.339,16,1,0
Dick Irvin,Chicago Blackhawks,0.271,0.257,0.286,0.357,19,1,0
Percy Thompson,Hamilton Tigers,0.271,0.417,0.125,0.271,13,2,0
Fred Glover,Oakland Seals,0.27,0.388,0.152,0.344,96,6,0
Doug Barkley,Detroit Red Wings,0.269,0.417,0.143,0.346,7,1,0
Punch Imlach,Buffalo Sabres,0.269,0.373,0.167,0.374,32,2,0
Ted Harris,Minnesota North Stars,0.268,0.4,0.135,0.344,48,3,0
Marshall Johnston,Colorado Rockies,0.268,0.448,0.074,0.348,15,1,0
Barclay Plager,St. Louis Blues,0.267,0.388,0.147,0.348,36,3,0
George Boucher,Ottawa Senators (1917),0.265,0.333,0.195,0.337,22,2,0
Fred Glover,Los Angeles Kings,0.265,0.412,0.118,0.324,18,1,0
Wayne Maxner,Detroit Red Wings,0.264,0.394,0.127,0.368,34,2,0
Larry Pleau,Hartford Whalers,0.263,0.328,0.193,0.352,31,3,0
Steve Ludzik,Tampa Bay Lightning,0.256,0.373,0.145,0.351,31,2,0
Doug Barkley,Detroit Red Wings,0.255,0.423,0.08,0.324,13,2,0
Tommy Ivan,Chicago Blackhawks,0.252,0.346,0.157,0.354,26,2,0
Shorty Green,New York Americans,0.25,0.273,0.227,0.318,11,1,0
Bill McCreary Sr.,California Golden Seals,0.25,0.35,0.083,0.312,8,1,0
Bill McCreary Sr.,St. Louis Blues,0.25,0.4,0.143,0.333,6,1,0
Tom McVie,New Jersey Devils,0.25,0.29,0.207,0.308,15,1,0
Lynn Patrick,St. Louis Blues,0.25,0.25,0.25,0.312,4,1,0
Art Ross,Hamilton Tigers,0.25,0.333,0.167,0.25,6,1,0
Johnny Wilson,Colorado Rockies,0.25,0.3,0.2,0.338,20,1,0
Art Chapman,New York Americans,0.25,0.354,0.146,0.323,24,2,0
Larry Kish,Hartford Whalers,0.245,0.348,0.154,0.296,12,1,0
Lou Nanne,Minnesota North Stars,0.241,0.385,0.125,0.31,7,1,0
Tom McVie,Washington Capitals,0.24,0.314,0.167,0.321,49,3,0
Herb Brooks,Minnesota North Stars,0.237,0.25,0.225,0.319,19,1,0
Don Cherry,Colorado Rockies,0.237,0.3,0.175,0.319,19,1,0
Lorne Henning,New York Islanders,0.235,0.167,0.273,0.294,4,1,0
Jacques Demers,Tampa Bay Lightning,0.231,0.289,0.169,0.289,34,2,0
John Cunniff,Hartford Whalers,0.231,0.286,0.167,0.269,3,1,0
Curt Fraser,Atlanta Thrashers,0.229,0.259,0.2,0.312,64,4,0
Cy Denneny,Ottawa Senators (1917),0.229,0.333,0.125,0.333,11,1,0
Sylvio Mantha,Montréal Canadiens,0.229,0.208,0.25,0.344,11,1,0
Harry Neale,Detroit Red Wings,0.229,0.294,0.167,0.286,8,1,0
Charlie Burns,Minnesota North Stars,0.227,0.217,0.238,0.364,10,1,0
Bryan Watson,Edmonton Oilers,0.222,0.1,0.375,0.361,4,1,0
Bill McCreary Sr.,Vancouver Canucks,0.22,0.3,0.143,0.305,9,1,0
Bill Sutherland,Winnipeg Jets (1979),0.219,0.312,0.125,0.266,7,2,0
Pat Kelly,Colorado Rockies,0.218,0.367,0.077,0.342,22,2,0
Peter Horachek,Toronto Maple Leafs,0.214,0.421,0.043,0.274,9,1,0
Ebbie Goodfellow,Chicago Blackhawks,0.214,0.243,0.186,0.282,30,2,0
Earl Ingarfield,New York Islanders,0.214,0.4,,0.25,6,1,0
Bep Guidolin,Kansas City Scouts,0.208,0.306,0.111,0.268,26,2,0
Hal Laycoe,Los Angeles Kings,0.208,0.333,0.083,0.229,5,1,0
Pit Lepine,Montréal Canadiens,0.208,0.208,0.208,0.26,10,1,0
Leo Boivin,St. Louis Blues,0.204,0.25,0.154,0.269,11,1,0
Aldo Guidolin,Colorado Rockies,0.203,0.226,0.179,0.271,12,1,0
Bert Olmstead,Oakland Seals,0.203,0.324,0.081,0.318,15,1,0
Lou Angotti,Pittsburgh Penguins,0.2,0.175,0.225,0.237,16,1,0
Bill LaForge,Vancouver Canucks,0.2,0.333,0.091,0.25,4,1,0
Brad Park,Detroit Red Wings,0.2,0.217,0.182,0.222,9,1,0
Dave Chambers,Quebec Nordiques,0.194,0.24,0.146,0.27,19,2,0
Craig Ramsay,Buffalo Sabres,0.191,0.4,,0.238,4,1,0
Tom McVie,Winnipeg Jets (1979),0.191,0.255,0.13,0.276,20,2,0
Phil Watson,Boston Bruins,0.191,0.227,0.15,0.268,16,2,0
Bill MacMillan,New Jersey Devils,0.19,0.245,0.137,0.26,19,2,0
Lou Angotti,St. Louis Blues,0.188,0.357,0.056,0.281,6,2,0
Andre Beaulieu,Minnesota North Stars,0.188,0.176,0.2,0.234,6,1,0
Frank Eddolls,Chicago Blackhawks,0.186,0.171,0.2,0.307,13,1,0
Marshall Johnston,California Golden Seals,0.186,0.281,0.105,0.271,13,2,0
Ted Garvin,Detroit Red Wings,0.182,0.25,0.143,0.227,2,1,0
Duke Keats,Detroit Cougars,0.182,0.167,0.2,0.273,2,1,0
John Muckler,Minnesota North Stars,0.176,0.235,0.118,0.265,6,1,0
Barney Stanley,Chicago Blackhawks,0.174,0.167,0.182,0.217,4,1,0
Johnny Wilson,Los Angeles Kings,0.173,0.308,0.038,0.26,9,1,0
Ted Lindsay,Detroit Red Wings,0.172,0.364,0.056,0.224,5,2,0
George Kingston,San Jose Sharks,0.171,0.268,0.073,0.192,28,2,0
Maurice Filion,Quebec Nordiques,0.167,,0.167,0.333,1,1,0
Dick Irvin,Chicago Blackhawks,0.167,0.25,,0.333,2,1,0
Mike Quinn,Quebec Bulldogs,0.167,0.333,,0.167,4,1,0
Art Ross,Montreal Wanderers,0.167,0.333,,0.167,1,1,0
Garry Young,California Golden Seals,0.167,0.167,0.167,0.292,2,1,0
Rick Bowness,Ottawa Senators,0.166,0.209,0.125,0.204,39,4,0
Herb Gardiner,Chicago Blackhawks,0.156,0.071,0.222,0.219,5,1,0
Eddie Gerard,St. Louis Eagles,0.154,0.333,,0.154,2,1,0
Michel Bergeron,Quebec Nordiques,0.15,0.2,0.1,0.194,12,1,0
Hugh Lehman,Chicago Blackhawks,0.143,,0.273,0.167,3,1,0
Bert Marshall,Colorado Rockies,0.125,0.091,0.154,0.208,3,1,0
Phil Goyette,New York Islanders,0.12,0.167,0.077,0.16,6,1,0
Frank Fredrickson,Pittsburgh Pirates,0.114,0.227,,0.148,5,1,0
Milt Schmidt,Washington Capitals,0.114,0.095,0.13,0.171,5,2,0
Red Sullivan,Washington Capitals,0.111,0.182,,0.111,2,1,0
Rick Bowness,Phoenix Coyotes,0.1,0.091,0.111,0.25,2,1,0
Cooper Smeaton,Philadelphia Quakers,0.091,0.136,0.045,0.136,4,1,0
