Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Jeff Blashill,Detroit Red Wings,0.2,0.5,,0.2,1,1,0
Eddie Gerard,Montreal Maroons,0.167,,0.333,0.25,1,2,0
Phil Maloney,Vancouver Canucks,0.143,,0.25,0.143,1,2,0
Mike Nykoluk,Toronto Maple Leafs,0.143,0.333,,0.143,1,2,0
King Clancy,Toronto Maple Leafs,0.143,0.167,0.125,0.143,2,3,0
Nick Polano,Detroit Red Wings,0.143,,0.25,0.143,1,2,0
Tom Watt,Winnipeg Jets (1979),0.143,0.333,,0.143,1,2,0
Dave Tippett,Edmonton Oilers,0.125,0.25,,0.125,1,2,0
Fred Creighton,Atlanta Flames,0.111,0.25,,0.111,1,4,0
Bob McCammon,Philadelphia Flyers,0.1,,0.2,0.1,1,3,0
Newsy Lalonde,Montréal Canadiens,0.0,,,0.25,0,2,0
Newsy Lalonde,Ottawa Senators (1917),0.0,,,0.25,0,1,0
Bob Gainey,Montréal Canadiens,0.0,,,,0,1,0
David Quinn,New York Rangers,0.0,,,,0,1,0
Bob Hartley,Atlanta Thrashers,0.0,,,,0,1,0
Sid Abel,Detroit Red Wings,0.0,,,,0,1,0
Bob Pulford,Chicago Blackhawks,0.0,,,,0,2,0
Keith Magnuson,Chicago Blackhawks,0.0,,,,0,1,0
Pat Quinn,Los Angeles Kings,0.0,,,,0,1,0
Butch Goring,Boston Bruins,0.0,,,,0,1,0
Don Blackburn,Hartford Whalers,0.0,,,,0,1,0
Pierre Page,Calgary Flames,0.0,,,,0,1,0
Pete Muldoon,Chicago Blackhawks,0.0,,,0.25,0,1,0
Craig Hartsburg,Anaheim Ducks,0.0,,,,0,1,0
George Boucher,Montreal Maroons,0.0,,,,0,1,0
Frank Carroll,Toronto St. Patricks,0.0,,,,0,1,0
Craig Patrick,New York Rangers,0.0,,,,0,1,0
Alex Currie,Ottawa Senators (1917),0.0,,,0.25,0,1,0
Leo Dandurand,Montréal Canadiens,0.0,,,0.25,0,1,0
Eddie Powers,Toronto St. Patricks,0.0,,,,0,1,0
Art Duncan,Toronto Maple Leafs,0.0,,,0.25,0,1,0
Phil Esposito,New York Rangers,0.0,,,,0,1,0
John Ferguson Sr.,Winnipeg Jets (1979),0.0,,,,0,1,0
Terry Murray,Florida Panthers,0.0,,,,0,1,0
Emile Francis,St. Louis Blues,0.0,,,,0,1,0
Bernie Geoffrion,Atlanta Flames,0.0,,,,0,1,0
Tommy Gorman,New York Americans,0.0,,,0.25,0,1,0
John Stevens,Los Angeles Kings,0.0,,,,0,1,0
Johnny Gottselig,Chicago Blackhawks,0.0,,,,0,1,0
Ted Harris,Minnesota North Stars,0.0,,,,0,1,0
Ken Hitchcock,Columbus Blue Jackets,0.0,,,,0,1,0
Vic Stasiuk,Philadelphia Flyers,0.0,,,,0,1,0
Ron Stewart,Los Angeles Kings,0.0,,,,0,1,0
Punch Imlach,Toronto Maple Leafs,0.0,,,,0,1,0
Larry Robinson,Los Angeles Kings,0.0,,,,0,1,0
Bill Tobin,Chicago Blackhawks,0.0,,,0.25,0,1,0
Glen Gulutzan,Calgary Flames,0.0,,,,0,1,0
Tom Watt,Vancouver Canucks,0.0,,,,0,1,0
Pat Kelly,Colorado Rockies,0.0,,,,0,1,0
Bill White,Chicago Blackhawks,0.0,,,,0,1,0
Andy Murray,St. Louis Blues,0.0,,,,0,1,0
Garry Young,St. Louis Blues,0.0,,,,0,1,0
Eddie Oatman,Calgary Tigers,0.0,,,,0,1,0
Ken McKenzie,Edmonton Eskimos,0.0,,,,0,1,0
