Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Jim Montgomery,Dallas Stars,0.538,0.5,0.571,0.538,7,1,0
Ron Wilson,San Jose Sharks,0.538,0.615,0.462,0.538,28,4,0
Todd McLellan,Edmonton Oilers,0.538,0.5,0.571,0.538,7,1,0
Jimmy Skinner,Detroit Red Wings,0.538,0.786,0.25,0.538,14,3,1
Tommy Ivan,Detroit Red Wings,0.537,0.568,0.5,0.537,36,7,3
Mike Sullivan,Pittsburgh Penguins,0.537,0.595,0.475,0.537,44,7,2
Pat Burns,Montréal Canadiens,0.536,0.679,0.393,0.536,30,4,0
Bob Pulford,Chicago Blackhawks,0.533,0.625,0.429,0.533,8,1,0
Rick Bowness,Boston Bruins,0.533,0.5,0.571,0.533,8,1,0
Joe Primeau,Toronto Maple Leafs,0.533,0.375,0.714,0.567,8,2,1
Peter DeBoer,San Jose Sharks,0.533,0.613,0.448,0.533,32,4,0
John Tortorella,Tampa Bay Lightning,0.533,0.522,0.545,0.533,24,4,1
Bryan Murray,Ottawa Senators,0.529,0.471,0.588,0.529,18,3,0
Rick Bowness,Dallas Stars,0.529,0.467,0.579,0.529,18,2,0
Craig MacTavish,Edmonton Oilers,0.528,0.588,0.474,0.528,19,3,0
Pat Quinn,Vancouver Canucks,0.527,0.571,0.481,0.527,29,4,0
Jacques Demers,Detroit Red Wings,0.526,0.579,0.474,0.526,20,3,0
Eddie Gerard,Montreal Maroons,0.526,0.429,0.8,0.632,10,3,1
Paul Holmgren,Philadelphia Flyers,0.526,0.444,0.6,0.526,10,1,0
Peter Laviolette,Nashville Predators,0.525,0.633,0.419,0.525,32,5,0
Bep Guidolin,Boston Bruins,0.524,0.545,0.5,0.524,11,2,0
Bob Gainey,Dallas Stars,0.523,0.6,0.458,0.523,23,4,0
Ken Hitchcock,Philadelphia Flyers,0.513,0.737,0.278,0.513,19,3,0
Pat Quinn,Toronto Maple Leafs,0.512,0.61,0.41,0.512,41,6,0
Peter Laviolette,Philadelphia Flyers,0.511,0.609,0.409,0.511,23,3,0
Alain Vigneault,New York Rangers,0.508,0.548,0.467,0.508,31,4,0
Pat Burns,Toronto Maple Leafs,0.5,0.652,0.348,0.5,23,3,0
Wren Blair,Minnesota North Stars,0.5,1.0,0.222,0.5,7,1,0
Colin Campbell,New York Rangers,0.5,0.5,0.5,0.5,18,3,0
Craig Hartsburg,Chicago Blackhawks,0.5,0.625,0.375,0.5,8,2,0
Craig Patrick,New York Rangers,0.5,0.714,0.286,0.5,7,1,0
Roger Neilson,Buffalo Sabres,0.5,0.4,0.667,0.5,4,1,0
Leo Dandurand,Ottawa Senators (1917),0.5,1.0,,0.5,1,1,0
Scotty Bowman,St. Louis Blues,0.5,0.63,0.36,0.5,26,4,0
Herb Brooks,New York Rangers,0.5,0.455,0.538,0.5,12,3,0
Ivan Hlinka,Pittsburgh Penguins,0.5,0.375,0.6,0.5,9,1,0
Jack Evans,Hartford Whalers,0.5,0.714,0.333,0.5,8,2,0
Emile Francis,St. Louis Blues,0.5,0.8,0.2,0.5,5,1,0
Art Ross,Boston Bruins,0.5,0.6,0.375,0.5,9,3,1
Tony Granato,Colorado Avalanche,0.5,0.5,0.5,0.5,9,2,0
Ted Sator,New York Rangers,0.5,0.571,0.444,0.5,8,1,0
Joel Quenneville,St. Louis Blues,0.5,0.545,0.457,0.5,34,7,0
Pete Green,Montréal Canadiens,0.5,1.0,,0.5,1,1,0
Ted Green,Edmonton Oilers,0.5,0.625,0.375,0.5,8,1,0
Floyd Smith,Buffalo Sabres,0.5,0.765,0.2,0.5,16,3,0
Conn Smythe,Toronto Maple Leafs,0.5,0.5,0.5,0.5,2,1,0
Orval Tessier,Chicago Blackhawks,0.5,0.556,0.444,0.5,9,2,0
Dick Irvin,Toronto Maple Leafs,0.5,0.611,0.367,0.508,33,9,1
Emil Iverson,Chicago Blackhawks,0.5,1.0,,0.5,1,1,0
Lou Lamoriello,New Jersey Devils,0.5,0.6,0.4,0.5,10,2,0
Dale Hunter,Washington Capitals,0.5,0.5,0.5,0.5,7,1,0
Geoff Ward,Calgary Flames,0.5,0.4,0.6,0.5,5,1,0
Michel Therrien,Montréal Canadiens,0.5,0.5,0.5,0.5,6,1,0
Eddie Johnston,Pittsburgh Penguins,0.5,0.55,0.438,0.5,18,3,0
Michel Therrien,Montréal Canadiens,0.5,0.529,0.471,0.5,17,3,0
Jay Woodcroft,Edmonton Oilers,0.5,0.5,0.5,0.5,8,1,0
Gerard Gallant,New York Rangers,0.5,0.8,0.2,0.5,10,1,0
Mike Keenan,St. Louis Blues,0.5,0.6,0.4,0.5,10,2,0
Rod Brind'Amour,Carolina Hurricanes,0.5,0.68,0.304,0.5,24,4,0
Jack Adams,Detroit Red Wings,0.495,0.545,0.44,0.5,52,15,3
Punch Imlach,Toronto Maple Leafs,0.494,0.63,0.349,0.494,44,10,4
Bruce Cassidy,Boston Bruins,0.493,0.486,0.5,0.493,36,6,0
Brian Sutter,St. Louis Blues,0.488,0.682,0.263,0.488,20,4,0
Billy Reay,Chicago Blackhawks,0.487,0.644,0.328,0.487,57,12,0
Paul Maurice,Carolina Hurricanes,0.486,0.471,0.5,0.486,17,3,0
Alain Vigneault,Vancouver Canucks,0.485,0.472,0.5,0.485,33,6,0
Jacques Demers,St. Louis Blues,0.485,0.562,0.412,0.485,16,3,0
Todd McLellan,San Jose Sharks,0.484,0.581,0.387,0.484,30,6,0
Roger Neilson,Philadelphia Flyers,0.483,0.438,0.538,0.483,14,3,0
Frank Boucher,New York Rangers,0.481,0.833,0.2,0.481,13,4,1
Doug MacLean,Florida Panthers,0.481,0.571,0.385,0.481,13,2,0
Bob Johnson,Calgary Flames,0.481,0.577,0.385,0.481,25,5,0
John Stevens,Philadelphia Flyers,0.478,0.6,0.385,0.478,11,2,0
Lester Patrick,New York Rangers,0.477,0.552,0.417,0.538,31,12,2
Randy Carlyle,Anaheim Ducks,0.476,0.455,0.5,0.476,10,2,0
John Brophy,Toronto Maple Leafs,0.474,0.333,0.6,0.474,9,2,0
Lindy Ruff,Dallas Stars,0.474,0.5,0.444,0.474,9,2,0
Terry O'Reilly,Boston Bruins,0.472,0.647,0.316,0.472,17,3,0
Paul MacLean,Ottawa Senators,0.471,0.571,0.4,0.471,8,2,0
Craig Berube,St. Louis Blues,0.471,0.308,0.64,0.48,24,4,1
Ron Wilson,Washington Capitals,0.469,0.412,0.533,0.469,15,3,0
Bob Berry,St. Louis Blues,0.467,0.571,0.375,0.467,7,2,0
Tommy Gorman,Montreal Maroons,0.467,0.286,0.625,0.533,7,3,1
Terry Murray,Washington Capitals,0.462,0.526,0.4,0.462,18,4,0
Jacques Martin,Montréal Canadiens,0.462,0.455,0.467,0.462,12,2,0
Claude Ruel,Montréal Canadiens,0.462,0.375,0.6,0.462,6,2,0
Bruce Boudreau,Washington Capitals,0.46,0.476,0.438,0.46,17,4,0
Tom Renney,New York Rangers,0.458,0.545,0.385,0.458,11,3,0
Michel Bergeron,Quebec Nordiques,0.456,0.531,0.389,0.456,31,7,0
Bob Hartley,Calgary Flames,0.455,0.8,0.167,0.455,5,1,0
Emile Francis,New York Rangers,0.453,0.528,0.385,0.453,34,9,0
Bryan Murray,Washington Capitals,0.453,0.448,0.458,0.453,24,7,0
Art Ross,Boston Bruins,0.452,0.4,0.5,0.532,14,6,1
Rudy Pilous,Chicago Blackhawks,0.45,0.7,0.2,0.45,18,5,1
